id,cat_age,cat_gender,breed,needs_outdoor,medical_conditions,behavioural_problems,cat_weight,likes_to_explore,playful,vocal,picked_up,timid,aggressive,adapts_quickly,prefers_alone,likes_stroke,tolerant_handled,friendly,fearful,adopter_gender,adopter_age,other_cats,outdoor_access,worries,easily_nervous,remains_calm,talkative,outgoing,reserved,new_ideas,values_artistic,active_imagination,rude,forgiving,considerate,thorough job,lazy,efficient,satisf_level
19,19,1,0,1,2,1,3,5,4,5,5,1,1,4,2,5,4,4,2,2,3,8,1,5,4,4,3,2,4,5,5,5,1,5,5,5,4,4,1
20,1,1,0,1,1,1,3,5,5,5,4,1,1,4,2,4,5,5,1,2,2,2,1,5,0,0,2,0,5,3,0,2,0,5,0,5,0,0,1
21,17,1,Maine Coon,1,2,2,3,4,3,4,4,2,1,3,3,5,3,4,2,2,5,0,1,4,3,4,3,3,4,3,4,3,1,5,4,5,1,5,1
22,14,2,0,2,1,1,4,5,4,3,5,2,1,3,1,5,5,5,4,2,1,0,2,5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,1
23,7,2,0,1,1,1,5,5,3,4,5,4,1,3,2,5,5,5,3,2,2,2,1,4,5,4,2,1,5,4,5,5,3,4,4,5,3,5,1
24,9,1,0,1,1,1,3,3,3,1,2,2,1,4,2,5,2,5,3,2,2,1,1,1,1,4,5,5,1,5,3,4,2,4,4,4,1,5,0.8
25,1,1,0,1,1,1,3,4,5,5,5,5,1,4,2,5,5,5,2,0,1,0,1,4,5,4,4,2,4,5,5,5,5,4,2,4,4,2,1
26,18,1,0,1,2,2,2,4,3,1,4,2,3,2,2,4,2,2,3,2,3,12,1,4,1,4,2,2,5,4,3,3,4,3,4,5,2,4,0.9
27,16,1,0,1,2,1,2,3,3,1,2,1,1,2,1,5,4,5,1,2,3,1,1,2,2,2,4,5,5,3,4,2,2,4,5,3,1,3,0.8
28,9,1,0,2,1,1,3,5,4,4,5,2,1,4,1,5,4,5,2,2,4,12,2,3,2,5,4,4,4,4,4,5,3,4,5,5,3,4,1
29,3,1,0,2,2,1,3,5,5,5,4,1,3,4,2,4,4,4,1,2,2,0,2,1,3,4,5,5,1,4,5,4,1,5,5,5,2,5,0.95
30,4,2,0,2,1,1,3,4,3,4,4,3,1,3,3,4,4,4,3,1,5,3,2,3,3,5,4,4,3,3,4,4,4,5,5,3,4,2,0.9
31,4,2,Maine coon cat,1,1,1,3,5,5,3,5,1,1,5,1,5,5,5,1,2,4,0,1,4,3,4,4,4,3,3,3,3,1,4,5,4,2,5,1
32,9,2,0,2,2,1,4,4,3,5,5,3,1,4,2,5,5,5,2,2,3,0,2,4,3,3,2,4,3,5,5,5,2,4,4,4,4,3,1
33,9,1,0,1,2,1,3,4,4,5,5,1,1,4,1,5,5,5,1,2,4,5,1,5,3,5,5,2,4,5,5,5,2,5,5,5,1,4,1
34,2,2,0,1,1,1,3,4,4,4,5,2,1,4,2,4,3,5,1,2,2,1,1,4,4,2,5,5,1,4,5,1,4,5,5,4,4,3,1
35,15,1,Ragdoll,1,2,1,3,4,4,2,3,4,1,4,3,4,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,2,0,1,1,1,3,5,5,1,5,1,1,3,1,5,5,5,1,2,4,6,1,4,4,5,4,3,4,5,2,3,1,4,5,5,2,4,1
37,3,1,0,1,1,1,4,3,3,3,4,3,3,3,2,4,3,4,2,2,4,1,1,3,1,4,2,2,5,5,4,4,3,2,4,5,1,4,0.9
38,16,2,Seal Point Siamese,1,2,2,2,3,3,5,5,1,3,3,1,5,4,5,4,2,2,2,1,5,5,2,5,4,2,3,3,2,3,4,4,4,4,3,1
39,2,2,0,1,1,1,3,4,4,3,3,2,1,3,2,4,4,4,3,2,2,2,1,2,4,5,4,3,4,2,5,2,4,5,3,4,4,5,1
40,9,1,0,1,1,1,4,3,5,3,5,4,1,2,2,4,4,4,3,2,2,1,1,4,4,4,2,2,4,3,4,5,4,2,3,3,4,4,1
41,7,1,0,2,1,1,3,4,4,4,5,3,1,2,2,5,5,4,2,2,2,0,2,3,3,4,2,2,4,4,4,4,2,4,4,5,4,4,1
42,2,2,0,1,1,2,3,5,5,5,1,3,2,4,1,4,2,5,3,2,3,0,1,5,5,4,4,4,4,5,3,4,2,5,5,5,4,5,1
43,6,2,Sphynx,1,1,1,4,5,4,5,4,1,1,3,1,5,5,5,1,2,2,1,1,5,3,5,4,3,4,4,4,5,1,4,5,5,1,4,0.95
44,13,1,0,2,1,1,4,3,3,3,5,3,1,3,3,5,5,3,3,2,4,0,2,5,2,2,4,3,4,5,5,5,2,4,5,3,3,3,1
45,4,1,0,2,1,1,3,5,3,3,4,2,3,3,2,4,4,4,2,2,4,0,2,3,2,4,2,2,4,4,2,2,2,4,4,5,3,4,0.85
46,7,1,0,2,2,1,4,3,3,4,2,4,1,2,2,4,2,4,2,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,4,1,0,2,1,1,3,3,4,4,2,1,3,2,3,4,3,3,2,2,2,1,2,4,4,2,4,3,4,4,5,4,4,4,2,2,4,1,0.85
48,7,2,British Shorthair (British Blue),2,2,1,3,5,4,4,1,3,1,4,1,5,2,4,3,2,4,1,2,5,2,4,5,5,2,3,4,4,3,5,5,4,4,3,0.9
49,2,2,0,2,1,1,3,5,5,5,4,1,1,5,1,4,3,5,1,2,2,0,2,3,2,4,4,4,4,3,1,4,4,3,4,4,4,5,0.85
50,16,2,Moggie,1,1,1,3,3,3,3,2,3,1,4,3,4,2,3,3,2,3,0,1,5,4,4,3,4,4,4,5,2,1,5,5,4,2,4,0.85
51,8,1,0,2,1,2,4,4,3,4,3,4,1,2,4,4,4,4,2,2,3,0,2,3,2,5,5,5,2,5,3,5,2,4,4,5,1,4,0.55
52,2,2,0,2,1,2,3,5,4,5,1,2,3,4,2,2,1,4,4,2,2,0,2,5,5,2,1,1,5,5,5,5,2,5,5,4,3,4,0.9
53,1,2,0,1,1,2,3,4,5,3,4,1,3,4,2,4,4,5,2,2,3,1,1,4,2,4,3,4,4,1,4,4,4,4,3,5,4,4,0.8
54,4,1,0,2,1,1,3,4,5,3,5,3,1,5,2,5,5,4,2,2,5,0,2,4,2,4,4,3,4,4,4,4,2,4,4,4,2,4,1
55,2,2,0,2,2,2,3,5,3,3,4,4,1,4,4,4,3,4,2,2,1,1,2,4,5,4,4,4,4,4,5,4,2,5,5,5,4,5,0.85
56,14,1,0,2,1,1,3,4,4,4,4,2,1,3,2,5,4,5,2,2,3,0,2,2,2,4,4,4,2,4,4,5,3,4,4,4,2,4,0.95
57,15,1,0,2,2,2,3,4,3,4,3,4,1,4,3,4,3,4,4,2,3,0,2,5,4,4,4,3,4,4,5,5,2,4,4,5,1,4,1
58,6,2,0,2,1,1,3,4,4,3,4,3,1,4,2,5,4,4,2,2,2,0,2,4,5,5,2,4,4,2,4,2,1,4,5,3,2,5,1
59,4,1,0,2,1,1,3,4,4,4,5,2,1,2,2,5,5,5,1,2,2,3,2,3,2,4,5,4,3,3,3,3,3,4,4,4,1,4,1
60,1,2,0,2,1,1,4,5,5,4,4,1,1,3,1,5,4,5,1,2,4,0,2,4,2,2,4,3,3,4,3,4,3,5,4,3,4,2,0.9
61,4,1,0,1,1,1,3,5,4,4,5,2,1,4,2,4,5,5,1,2,2,1,1,4,4,2,5,3,4,4,4,4,2,4,4,4,2,3,1
62,1,1,0,2,1,1,3,5,5,3,2,3,3,3,3,3,2,3,3,2,4,0,2,2,3,4,4,3,3,3,3,4,3,4,4,4,3,5,0.85
63,14,1,0,2,1,1,3,4,3,3,4,4,1,2,3,4,3,4,1,2,5,0,2,3,3,4,2,3,5,4,5,3,1,3,4,5,1,4,0.85
64,7,1,0,2,1,1,4,4,4,4,2,3,1,3,2,3,3,4,2,2,4,0,2,4,5,4,4,4,2,2,4,5,2,3,5,4,2,3,0.9
65,4,1,0,2,1,2,3,5,4,4,4,2,1,2,2,5,4,4,3,2,2,2,2,4,1,2,5,5,1,5,4,5,1,5,4,5,1,4,1
66,9,2,0,2,1,1,3,5,5,4,4,1,1,5,2,4,4,5,2,1,4,0,2,3,2,4,4,4,4,4,5,4,4,3,4,5,2,5,1
67,4,2,Maine coon ,2,1,1,3,4,4,5,5,1,1,3,1,5,5,5,1,2,4,2,2,1,1,5,5,5,1,5,5,5,3,3,5,5,1,5,1
68,1,1,0,1,1,1,3,5,4,3,4,2,1,4,2,4,4,4,1,2,2,1,1,5,5,4,5,4,2,5,5,5,1,3,5,4,2,4,1
69,4,1,0,2,1,1,4,5,4,3,3,2,1,2,3,5,4,4,2,2,6,0,2,4,3,3,4,4,3,4,5,5,3,4,3,5,3,3,1
70,18,2,0,1,1,1,2,3,3,3,3,3,1,3,4,4,3,4,3,2,3,1,1,3,3,4,2,2,4,4,2,4,3,4,2,4,2,4,1
71,2,1,0,2,1,1,3,5,4,1,2,1,1,3,2,4,4,4,1,2,3,7,2,2,3,4,3,4,2,3,2,2,1,3,5,5,3,5,0.95
72,9,2,0,2,1,1,4,5,5,5,4,3,1,4,3,4,3,4,3,2,3,3,2,4,4,3,4,4,3,4,5,4,3,4,4,4,3,3,1
73,13,1,0,2,1,1,4,3,5,5,3,1,1,5,1,5,5,5,1,2,5,1,2,3,3,4,5,4,4,3,3,5,2,4,5,5,1,5,1
74,9,1,Maine Coon,2,1,1,3,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,12,2,0,2,1,1,5,5,4,5,1,2,2,4,1,5,3,5,1,1,3,0,2,3,3,4,4,3,3,4,3,5,3,2,4,4,4,2,1
76,2,2,0,2,1,1,3,4,5,3,1,2,1,4,2,5,5,5,2,2,2,2,2,1,4,5,4,5,2,3,4,4,1,5,4,5,1,4,1
77,7,2,0,1,2,2,4,4,4,4,2,1,1,5,1,4,5,5,2,2,2,1,1,5,4,2,5,2,2,2,4,4,3,1,2,4,4,4,0.95
78,7,1,0,2,1,2,4,4,4,4,2,2,3,2,3,3,2,3,2,2,4,0,2,4,5,3,3,2,4,2,5,4,1,4,5,5,1,4,0.85
79,4,1,0,2,1,1,3,4,4,4,5,4,1,2,1,5,5,5,4,2,3,1,2,2,5,4,4,4,4,5,5,5,2,5,5,4,1,4,1
80,13,1,Bengal,2,2,2,3,5,3,5,2,4,1,1,4,3,3,2,2,1,3,1,2,4,4,1,2,1,4,4,3,2,4,1,3,3,4,3,0.6
81,13,1,0,2,2,1,2,5,3,5,3,1,1,2,3,3,3,4,2,2,4,1,2,5,3,2,5,5,1,3,5,3,1,4,5,4,1,5,0.85
82,2,1,0,2,1,2,3,4,3,3,2,4,3,2,2,2,2,2,4,2,4,1,2,5,4,2,5,2,4,2,4,5,4,5,5,5,4,5,0.85
83,3,1,0,2,1,1,3,5,4,5,2,1,3,4,2,4,3,4,2,2,3,0,2,4,4,4,5,5,1,5,5,5,4,5,5,5,4,5,0.95
84,3,2,0,2,1,1,3,5,5,4,5,1,1,5,2,5,5,5,1,2,4,1,2,3,3,3,3,4,3,5,5,5,3,5,5,5,1,5,1
85,3,1,0,2,1,1,3,5,5,5,3,4,1,5,1,5,5,5,1,1,3,0,2,5,3,3,5,4,3,5,5,5,4,5,2,4,2,4,1
86,10,1,0,2,1,1,3,2,3,4,3,3,1,1,2,5,4,4,3,2,1,0,2,4,4,4,5,5,1,5,5,5,3,5,5,5,3,4,1
87,6,2,Sphynx,2,1,2,3,5,3,1,5,1,1,4,1,4,4,5,1,2,3,1,2,5,4,4,4,4,5,4,5,5,2,5,4,4,2,4,1
88,5,1,0,2,1,1,3,5,5,5,4,3,1,3,1,3,3,5,1,2,4,1,2,2,4,4,5,3,1,3,3,2,3,5,4,5,1,5,1
89,13,2,0,2,1,2,2,3,3,4,3,4,1,2,3,4,3,4,4,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
90,3,1,0,1,2,2,3,5,5,3,2,2,1,4,1,5,4,5,1,2,3,0,1,2,1,4,4,4,1,4,2,2,1,4,5,5,2,4,1
91,5,2,0,2,1,1,3,4,4,3,3,4,3,3,3,4,3,4,2,2,3,0,2,4,3,2,4,3,3,4,3,4,1,2,4,4,1,5,1
92,4,1,0,2,1,1,3,4,4,5,5,2,3,4,2,5,5,5,1,2,4,4,2,5,4,2,4,4,2,3,4,5,4,4,4,5,4,3,1
93,4,1,0,1,1,1,3,5,4,2,5,3,1,4,2,5,5,5,2,2,3,3,1,4,4,2,3,1,2,2,4,3,3,4,5,5,2,4,0.9
94,10,1,0,2,1,2,3,4,3,2,4,4,1,3,3,4,4,4,4,2,6,1,2,4,4,3,1,1,5,2,3,1,3,2,3,5,1,5,1
95,18,1,0,2,2,1,3,3,3,5,5,1,1,4,2,5,5,5,1,2,3,5,2,4,4,3,4,3,3,2,3,3,2,4,4,4,2,3,1
96,7,1,Siamese,2,1,2,3,5,3,5,3,2,1,2,2,4,4,4,2,2,5,3,2,5,1,4,5,4,2,4,5,4,1,2,5,5,4,5,1
97,7,2,0,1,1,1,3,4,3,4,4,2,1,3,1,4,4,4,1,2,2,1,1,4,3,2,4,3,4,3,4,2,2,2,5,3,4,3,1
98,15,1,0,2,1,1,3,3,2,5,5,3,1,4,2,5,5,5,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,14,1,Persian ,2,2,1,2,4,3,5,2,4,1,3,3,4,5,4,3,2,4,1,2,5,3,4,2,2,5,4,5,5,2,5,5,5,1,5,0.95
100,14,1,0,2,1,1,4,5,4,3,2,1,1,4,3,4,2,4,1,2,5,0,2,1,1,4,4,5,2,5,5,5,1,5,4,5,1,5,1
101,11,2,0,2,1,1,4,4,3,4,4,2,1,2,2,4,4,4,2,2,5,4,2,2,1,4,2,2,4,4,4,4,3,4,2,4,4,4,0.9
102,5,2,0,2,1,1,3,5,4,3,1,3,1,1,2,3,1,4,4,2,2,0,2,4,4,4,5,4,4,2,3,3,4,3,4,4,3,4,0.95
103,3,1,0,2,1,1,3,4,4,4,2,1,3,3,3,2,2,4,1,2,5,1,2,2,2,3,5,5,1,4,4,4,2,4,3,5,1,5,0.85
104,7,2,0,2,2,1,2,3,3,4,3,3,2,3,2,5,3,4,3,2,4,4,2,4,3,4,5,3,3,4,5,5,3,5,4,4,1,4,0.85
105,11,2,0,2,1,1,4,5,3,3,5,1,1,3,1,5,5,5,1,2,5,1,2,4,4,4,3,4,4,4,5,4,1,4,5,5,1,4,1
106,4,1,0,2,1,1,3,5,4,1,2,4,1,4,2,5,4,4,2,2,2,1,2,5,2,2,4,4,2,3,4,5,2,4,4,5,2,4,1
107,4,2,0,2,1,1,3,5,4,3,2,2,2,3,2,4,3,5,2,2,3,0,2,5,4,4,3,3,4,5,4,2,1,3,4,5,1,5,1
108,5,1,0,2,1,1,3,5,4,4,4,2,1,4,2,4,4,4,1,2,2,1,2,2,4,3,2,2,4,2,3,2,1,4,4,4,4,3,1
109,1,2,0,1,1,1,3,5,5,3,4,2,1,4,2,4,4,4,2,2,2,0,1,4,4,2,5,4,4,4,4,2,1,4,4,5,2,4,0.85
110,5,1,0,2,1,1,3,4,4,4,3,1,1,4,1,5,3,5,2,2,3,3,2,5,4,4,4,3,3,3,4,5,3,4,4,4,3,4,1
111,6,1,0,2,2,2,3,5,5,3,3,2,1,1,2,4,3,4,3,2,5,1,2,4,3,4,4,3,3,3,4,5,1,5,5,5,1,5,0.65
112,6,1,0,2,2,1,3,4,4,4,2,1,1,5,2,5,4,4,1,1,2,0,2,4,4,5,4,4,2,4,5,5,5,5,5,2,2,1,1
113,1,2,0,2,1,1,2,4,3,5,4,4,1,2,4,5,5,4,3,2,1,4,2,1,5,1,5,1,5,3,1,4,4,1,3,3,4,4,0.95
114,7,1,0,2,1,1,3,5,5,5,5,1,1,5,1,5,5,5,1,2,2,0,2,2,1,5,5,5,1,4,5,5,4,5,4,4,3,5,1
115,1,2,0,2,1,1,3,5,5,3,5,1,2,5,2,4,4,5,1,2,1,0,2,3,4,5,4,3,3,5,5,5,3,2,4,5,4,4,1
116,2,2,0,2,1,1,3,4,5,5,4,2,1,3,2,5,4,4,4,2,2,1,2,4,2,3,4,4,1,4,4,4,4,4,4,5,1,4,0.95
117,11,1,0,1,1,1,3,4,4,1,4,3,1,2,3,4,4,4,2,2,5,3,1,3,2,4,5,3,3,4,5,5,2,4,4,4,2,4,1
118,18,2,0,2,1,2,3,3,1,4,2,4,1,2,4,4,1,4,3,2,2,2,2,2,3,4,4,4,1,3,4,5,2,3,4,3,4,5,1
119,12,1,0,2,2,1,4,3,3,4,4,2,1,4,1,5,5,5,3,2,4,2,2,4,2,4,4,5,1,4,4,4,4,4,5,5,3,5,1
120,6,1,0,2,1,1,3,5,4,3,5,3,1,2,2,5,3,5,2,2,3,1,2,5,3,3,3,3,4,3,4,3,1,5,5,5,1,5,1
121,5,2,Canadian Sphynx,1,1,2,3,5,5,5,3,1,1,5,1,4,4,5,1,1,2,1,1,3,1,4,5,5,1,5,5,5,1,5,5,5,4,4,1
122,18,2,0,2,2,2,1,4,3,4,5,1,1,5,2,4,4,5,1,2,5,7,2,4,1,5,4,5,4,5,5,5,1,5,5,5,1,5,1
123,2,1,0,2,1,1,3,3,4,3,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,14,2,0,2,1,1,3,4,3,3,3,4,1,3,3,4,4,5,4,2,1,3,2,4,3,4,4,4,4,3,3,2,3,4,5,5,1,4,1
125,4,1,0,2,1,1,3,3,4,3,5,4,1,4,3,5,5,5,1,2,1,2,2,3,2,5,5,5,4,5,5,5,1,5,5,5,4,5,1
126,1,1,0,2,1,1,3,4,4,4,3,2,3,3,4,2,1,4,2,2,3,0,2,1,3,4,5,4,3,4,4,5,1,5,5,5,1,5,0.95
127,4,2,0,2,1,1,3,5,5,1,5,4,1,3,4,5,5,3,3,2,3,1,2,5,3,3,3,4,3,3,3,3,1,5,5,5,2,5,0.95
128,6,1,0,1,1,1,3,4,3,4,4,3,1,4,3,3,4,4,4,2,2,1,1,3,4,4,2,3,4,3,2,3,4,2,2,5,1,5,0.8
129,2,1,0,2,1,1,3,4,4,1,4,3,1,2,2,4,4,4,2,2,4,0,2,4,4,5,4,2,4,4,4,4,1,5,5,5,1,5,0.85
130,8,1,0,2,1,1,4,5,4,3,2,2,1,2,4,4,2,4,3,2,4,1,2,4,4,5,5,5,4,4,4,2,1,4,4,4,4,4,0.85
131,5,1,0,2,1,1,3,4,4,4,4,3,1,2,2,4,2,4,2,2,2,1,2,4,4,2,5,5,2,4,5,5,2,3,5,4,4,5,1
132,2,1,0,2,1,2,3,3,4,4,4,5,1,3,1,4,4,5,4,1,4,0,2,1,1,4,4,4,4,4,4,4,2,4,5,4,1,4,0.95
133,2,1,0,2,1,2,3,3,4,5,3,5,1,2,1,3,2,4,2,2,1,0,2,4,4,2,2,1,4,4,5,5,2,3,5,3,2,4,0.95
134,1,2,0,2,1,1,3,5,4,4,4,3,1,3,3,5,4,4,3,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
135,2,1,0,2,1,1,3,5,5,3,5,4,1,2,3,5,3,4,3,2,2,0,2,5,2,5,5,4,3,5,5,5,1,5,5,5,1,5,1
136,4,1,0,1,1,2,3,4,5,5,4,2,2,3,2,4,5,5,2,2,2,0,1,5,4,1,5,3,5,5,5,5,4,5,5,2,5,2,1
137,14,1,Ragdoll,1,1,1,3,4,4,4,5,3,1,2,2,5,5,4,3,2,4,0,1,4,3,4,1,1,5,4,5,4,2,4,5,5,1,5,1
138,5,1,Burmese,1,1,1,3,5,5,5,5,3,1,4,1,5,5,5,2,2,4,1,1,4,2,4,5,4,4,3,5,5,4,5,4,5,1,5,1
139,5,2,0,2,1,1,3,5,5,3,5,1,1,5,1,5,5,5,1,2,2,0,2,3,4,4,3,3,3,4,5,5,1,4,4,5,2,4,1
140,8,1,0,2,1,1,3,4,4,1,4,3,1,3,3,3,4,4,3,1,5,1,2,2,3,4,4,4,4,5,4,4,4,4,4,4,1,4,0.95
141,4,2,0,2,1,1,3,4,4,5,4,3,1,2,3,5,4,4,3,2,1,0,2,3,4,4,4,3,4,3,2,3,2,4,4,5,3,4,1
142,7,1,0,2,1,1,4,2,3,3,5,4,2,2,2,4,2,4,3,2,2,0,2,5,3,5,1,2,5,3,5,3,1,1,5,4,1,5,1
143,6,2,0,1,1,2,3,4,3,3,1,5,3,2,3,4,1,4,5,2,3,0,1,4,3,2,5,5,1,5,4,5,4,5,5,5,1,5,0.9
144,9,1,Birmin,2,1,1,4,4,4,4,2,3,1,3,4,4,3,4,3,2,2,0,2,4,4,4,4,4,4,4,2,5,1,4,5,5,2,4,1
145,5,2,0,2,1,1,3,5,5,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,1,1,0,2,1,1,3,3,5,5,5,4,1,2,3,5,5,5,3,2,2,0,2,5,2,2,4,4,4,4,4,4,4,2,5,5,4,5,0.9
147,7,1,0,2,1,2,3,5,4,1,3,2,3,4,3,3,1,2,2,2,3,0,2,4,2,2,2,2,3,2,4,2,4,2,3,4,2,5,0.75
148,6,1,0,2,2,2,4,5,4,3,4,1,1,3,2,4,3,5,3,2,4,3,2,2,5,4,4,3,4,4,3,2,2,4,4,4,2,3,1
149,8,2,0,1,1,1,4,3,3,4,5,2,1,4,1,4,4,4,2,2,2,0,1,4,4,4,1,2,5,2,3,4,2,4,4,4,2,4,1
150,7,2,0,1,1,2,3,3,4,5,3,3,1,2,3,4,3,5,2,2,3,1,1,2,2,4,4,5,2,3,3,3,1,5,4,5,1,4,1
151,7,1,0,2,2,2,4,3,3,1,5,5,1,3,3,5,5,5,5,2,3,0,2,2,3,5,4,4,4,3,5,5,2,5,5,4,2,4,0.95
152,10,2,0,2,1,1,3,4,3,1,3,4,2,2,4,4,2,4,2,2,4,1,2,4,2,2,3,2,5,5,5,4,4,5,5,4,1,5,1
153,1,1,0,2,1,1,3,5,5,4,4,2,1,4,1,4,3,5,1,2,2,1,2,5,4,2,4,4,4,5,5,5,4,4,4,4,4,5,1
154,8,2,0,2,1,2,3,1,3,4,4,5,1,2,4,5,5,3,4,2,2,1,2,4,4,5,3,1,5,5,5,4,4,2,4,5,1,5,1
155,17,2,0,2,2,1,3,3,3,4,5,2,1,3,2,5,5,4,2,2,4,15,2,3,2,4,5,4,2,4,4,4,1,4,4,4,2,4,1
156,14,1,0,2,2,1,3,3,3,5,5,2,1,4,3,5,5,5,3,2,3,5,2,3,4,4,4,2,4,4,3,3,4,2,3,4,1,5,1
157,5,2,0,2,2,2,3,4,4,3,5,4,1,4,2,5,4,4,4,2,3,0,2,5,5,4,2,4,5,2,5,2,2,4,5,4,5,5,0.95
158,11,1,0,2,1,1,3,4,3,4,2,4,1,2,2,5,5,5,2,2,3,1,2,4,4,2,4,4,4,3,4,3,5,3,2,5,4,5,1
159,5,2,British shorthair ,1,1,1,3,5,4,3,3,2,1,2,2,4,4,4,2,2,4,6,1,4,4,2,4,2,4,4,2,2,2,2,2,5,1,2,0.85
160,8,2,Russian blue,2,1,1,4,3,3,3,2,3,1,3,4,5,3,4,4,2,3,0,2,4,4,4,5,3,4,3,3,4,4,5,5,3,4,4,0.95
161,8,1,0,2,1,1,3,4,4,1,3,2,1,3,3,4,3,3,1,2,5,2,2,3,4,3,4,4,1,4,4,4,3,4,4,3,3,3,0.85
162,13,1,Stray tabby,1,1,1,2,5,4,5,3,3,1,5,1,5,5,5,1,2,4,1,1,3,3,5,2,3,4,5,5,5,1,4,4,4,3,4,1
163,9,2,0,2,1,2,4,3,4,3,1,3,2,3,2,4,3,4,4,0,3,0,2,5,4,2,5,4,2,5,5,4,2,4,4,4,3,3,0.85
164,3,2,0,2,1,1,3,5,5,3,5,2,1,4,2,5,5,5,2,2,5,1,2,1,2,4,5,5,4,5,5,5,2,5,4,4,1,4,1
165,11,1,Burmese,2,2,1,3,5,3,4,5,1,1,3,1,5,5,5,1,2,2,1,2,4,3,4,4,2,4,4,4,4,3,2,4,5,5,5,1
