,How old is your cat (years)?,Is your cat male or female?,Other (please specify).1,Does your cat have access to the outdoors?,Does your cat have any existing medical conditions?,Does your cat display any behavioural problems,How would you describe your cat's weight?,My cat is keen to explore new things in his/her environment,My cat is playful,My cat is vocal when around people,My cat is comfortable being picked up,My cat is timid,"My cat behaves aggressively (i.e. growls, hisses, bites and swipes with claws) towards me when I stroke him/her",My cat is quick to settle and to adapt to change,"My cat would prefer to be left alone, rather than be with people",My cat likes being stroked,My cat is very tolerant to being handled,My cat is friendly,My cat is fearful
35,15,1,Ragdoll,1,2,1,3,4,4,2,3,4,1,4,3,4,3,4,3
36,6,2,0,1,1,1,3,5,5,1,5,1,1,3,1,5,5,5,1
37,3,1,0,1,1,1,4,3,3,3,4,3,3,3,2,4,3,4,2
38,16,2,Seal Point Siamese,1,2,2,2,3,3,5,5,1,3,3,1,5,4,5,4
39,2,2,0,1,1,1,3,4,4,3,3,2,1,3,2,4,4,4,3
40,9,1,0,1,1,1,4,3,5,3,5,4,1,2,2,4,4,4,3
41,7,1,0,2,1,1,3,4,4,4,5,3,1,2,2,5,5,4,2
42,2,2,0,1,1,2,3,5,5,5,1,3,2,4,1,4,2,5,3
43,6,2,Sphynx,1,1,1,4,5,4,5,4,1,1,3,1,5,5,5,1
44,13,1,0,2,1,1,4,3,3,3,5,3,1,3,3,5,5,3,3
45,4,1,0,2,1,1,3,5,3,3,4,2,3,3,2,4,4,4,2
46,7,1,0,2,2,1,4,3,3,4,2,4,1,2,2,4,2,4,2
47,4,1,0,2,1,1,3,3,4,4,2,1,3,2,3,4,3,3,2
48,7,2,British Shorthair (British Blue),2,2,1,3,5,4,4,1,3,1,4,1,5,2,4,3
49,2,2,0,2,1,1,3,5,5,5,4,1,1,5,1,4,3,5,1
50,16,2,Moggie,1,1,1,3,3,3,3,2,3,1,4,3,4,2,3,3
51,8,1,0,2,1,2,4,4,3,4,3,4,1,2,4,4,4,4,2
52,2,2,0,2,1,2,3,5,4,5,1,2,3,4,2,2,1,4,4
53,1,2,0,1,1,2,3,4,5,3,4,1,3,4,2,4,4,5,2
54,4,1,0,2,1,1,3,4,5,3,5,3,1,5,2,5,5,4,2
55,2,2,0,2,2,2,3,5,3,3,4,4,1,4,4,4,3,4,2
56,14,1,0,2,1,1,3,4,4,4,4,2,1,3,2,5,4,5,2
57,15,1,0,2,2,2,3,4,3,4,3,4,1,4,3,4,3,4,4
58,6,2,0,2,1,1,3,4,4,3,4,3,1,4,2,5,4,4,2
59,4,1,0,2,1,1,3,4,4,4,5,2,1,2,2,5,5,5,1
60,1,2,0,2,1,1,4,5,5,4,4,1,1,3,1,5,4,5,1
61,4,1,0,1,1,1,3,5,4,4,5,2,1,4,2,4,5,5,1
62,1,1,0,2,1,1,3,5,5,3,2,3,3,3,3,3,2,3,3
63,14,1,0,2,1,1,3,4,3,3,4,4,1,2,3,4,3,4,1
64,7,1,0,2,1,1,4,4,4,4,2,3,1,3,2,3,3,4,2
65,4,1,0,2,1,2,3,5,4,4,4,2,1,2,2,5,4,4,3
66,9,2,0,2,1,1,3,5,5,4,4,1,1,5,2,4,4,5,2
67,4,2,Maine coon ,2,1,1,3,4,4,5,5,1,1,3,1,5,5,5,1
68,1,1,0,1,1,1,3,5,4,3,4,2,1,4,2,4,4,4,1
69,4,1,0,2,1,1,4,5,4,3,3,2,1,2,3,5,4,4,2
70,18,2,0,1,1,1,2,3,3,3,3,3,1,3,4,4,3,4,3
71,2,1,0,2,1,1,3,5,4,1,2,1,1,3,2,4,4,4,1
72,9,2,0,2,1,1,4,5,5,5,4,3,1,4,3,4,3,4,3
73,13,1,0,2,1,1,4,3,5,5,3,1,1,5,1,5,5,5,1
74,9,1,Maine Coon,2,1,1,3,5,3,3,0,0,1,0,0,0,0,0,0
75,12,2,0,2,1,1,5,5,4,5,1,2,2,4,1,5,3,5,1
76,2,2,0,2,1,1,3,4,5,3,1,2,1,4,2,5,5,5,2
77,7,2,0,1,2,2,4,4,4,4,2,1,1,5,1,4,5,5,2
78,7,1,0,2,1,2,4,4,4,4,2,2,3,2,3,3,2,3,2
79,4,1,0,2,1,1,3,4,4,4,5,4,1,2,1,5,5,5,4
80,13,1,Bengal,2,2,2,3,5,3,5,2,4,1,1,4,3,3,2,2
81,13,1,0,2,2,1,2,5,3,5,3,1,1,2,3,3,3,4,2
82,2,1,0,2,1,2,3,4,3,3,2,4,3,2,2,2,2,2,4
83,3,1,0,2,1,1,3,5,4,5,2,1,3,4,2,4,3,4,2
84,3,2,0,2,1,1,3,5,5,4,5,1,1,5,2,5,5,5,1
85,3,1,0,2,1,1,3,5,5,5,3,4,1,5,1,5,5,5,1
86,10,1,0,2,1,1,3,2,3,4,3,3,1,1,2,5,4,4,3
87,6,2,Sphynx,2,1,2,3,5,3,1,5,1,1,4,1,4,4,5,1
88,5,1,0,2,1,1,3,5,5,5,4,3,1,3,1,3,3,5,1
89,13,2,0,2,1,2,2,3,3,4,3,4,1,2,3,4,3,4,4
90,3,1,0,1,2,2,3,5,5,3,2,2,1,4,1,5,4,5,1
91,5,2,0,2,1,1,3,4,4,3,3,4,3,3,3,4,3,4,2
92,4,1,0,2,1,1,3,4,4,5,5,2,3,4,2,5,5,5,1
93,4,1,0,1,1,1,3,5,4,2,5,3,1,4,2,5,5,5,2
94,10,1,0,2,1,2,3,4,3,2,4,4,1,3,3,4,4,4,4
95,18,1,0,2,2,1,3,3,3,5,5,1,1,4,2,5,5,5,1
96,7,1,Siamese,2,1,2,3,5,3,5,3,2,1,2,2,4,4,4,2
97,7,2,0,1,1,1,3,4,3,4,4,2,1,3,1,4,4,4,1
98,15,1,0,2,1,1,3,3,2,5,5,3,1,4,2,5,5,5,4
99,14,1,Persian ,2,2,1,2,4,3,5,2,4,1,3,3,4,5,4,3
100,14,1,0,2,1,1,4,5,4,3,2,1,1,4,3,4,2,4,1
101,11,2,0,2,1,1,4,4,3,4,4,2,1,2,2,4,4,4,2
102,5,2,0,2,1,1,3,5,4,3,1,3,1,1,2,3,1,4,4
103,3,1,0,2,1,1,3,4,4,4,2,1,3,3,3,2,2,4,1
104,7,2,0,2,2,1,2,3,3,4,3,3,2,3,2,5,3,4,3
105,11,2,0,2,1,1,4,5,3,3,5,1,1,3,1,5,5,5,1
106,4,1,0,2,1,1,3,5,4,1,2,4,1,4,2,5,4,4,2
107,4,2,0,2,1,1,3,5,4,3,2,2,2,3,2,4,3,5,2
108,5,1,0,2,1,1,3,5,4,4,4,2,1,4,2,4,4,4,1
109,1,2,0,1,1,1,3,5,5,3,4,2,1,4,2,4,4,4,2
110,5,1,0,2,1,1,3,4,4,4,3,1,1,4,1,5,3,5,2
111,6,1,0,2,2,2,3,5,5,3,3,2,1,1,2,4,3,4,3
112,6,1,0,2,2,1,3,4,4,4,2,1,1,5,2,5,4,4,1
113,1,2,0,2,1,1,2,4,3,5,4,4,1,2,4,5,5,4,3
114,7,1,0,2,1,1,3,5,5,5,5,1,1,5,1,5,5,5,1
115,1,2,0,2,1,1,3,5,5,3,5,1,2,5,2,4,4,5,1
116,2,2,0,2,1,1,3,4,5,5,4,2,1,3,2,5,4,4,4
117,11,1,0,1,1,1,3,4,4,1,4,3,1,2,3,4,4,4,2
118,18,2,0,2,1,2,3,3,1,4,2,4,1,2,4,4,1,4,3
119,12,1,0,2,2,1,4,3,3,4,4,2,1,4,1,5,5,5,3
120,6,1,0,2,1,1,3,5,4,3,5,3,1,2,2,5,3,5,2
121,5,2,Canadian Sphynx,1,1,2,3,5,5,5,3,1,1,5,1,4,4,5,1
122,18,2,0,2,2,2,1,4,3,4,5,1,1,5,2,4,4,5,1
123,2,1,0,2,1,1,3,3,4,3,0,0,5,0,0,0,0,0,0
124,14,2,0,2,1,1,3,4,3,3,3,4,1,3,3,4,4,5,4
125,4,1,0,2,1,1,3,3,4,3,5,4,1,4,3,5,5,5,1
126,1,1,0,2,1,1,3,4,4,4,3,2,3,3,4,2,1,4,2
127,4,2,0,2,1,1,3,5,5,1,5,4,1,3,4,5,5,3,3
128,6,1,0,1,1,1,3,4,3,4,4,3,1,4,3,3,4,4,4
129,2,1,0,2,1,1,3,4,4,1,4,3,1,2,2,4,4,4,2
130,8,1,0,2,1,1,4,5,4,3,2,2,1,2,4,4,2,4,3
131,5,1,0,2,1,1,3,4,4,4,4,3,1,2,2,4,2,4,2
132,2,1,0,2,1,2,3,3,4,4,4,5,1,3,1,4,4,5,4
133,2,1,0,2,1,2,3,3,4,5,3,5,1,2,1,3,2,4,2
134,1,2,0,2,1,1,3,5,4,4,4,3,1,3,3,5,4,4,3
135,2,1,0,2,1,1,3,5,5,3,5,4,1,2,3,5,3,4,3
136,4,1,0,1,1,2,3,4,5,5,4,2,2,3,2,4,5,5,2
137,14,1,Ragdoll,1,1,1,3,4,4,4,5,3,1,2,2,5,5,4,3
138,5,1,Burmese,1,1,1,3,5,5,5,5,3,1,4,1,5,5,5,2
139,5,2,0,2,1,1,3,5,5,3,5,1,1,5,1,5,5,5,1
140,8,1,0,2,1,1,3,4,4,1,4,3,1,3,3,3,4,4,3
141,4,2,0,2,1,1,3,4,4,5,4,3,1,2,3,5,4,4,3
142,7,1,0,2,1,1,4,2,3,3,5,4,2,2,2,4,2,4,3
143,6,2,0,1,1,2,3,4,3,3,1,5,3,2,3,4,1,4,5
144,9,1,Birmin,2,1,1,4,4,4,4,2,3,1,3,4,4,3,4,3
145,5,2,0,2,1,1,3,5,5,1,0,0,3,0,0,0,0,0,0
146,1,1,0,2,1,1,3,3,5,5,5,4,1,2,3,5,5,5,3
147,7,1,0,2,1,2,3,5,4,1,3,2,3,4,3,3,1,2,2
148,6,1,0,2,2,2,4,5,4,3,4,1,1,3,2,4,3,5,3
149,8,2,0,1,1,1,4,3,3,4,5,2,1,4,1,4,4,4,2
150,7,2,0,1,1,2,3,3,4,5,3,3,1,2,3,4,3,5,2
151,7,1,0,2,2,2,4,3,3,1,5,5,1,3,3,5,5,5,5
152,10,2,0,2,1,1,3,4,3,1,3,4,2,2,4,4,2,4,2
153,1,1,0,2,1,1,3,5,5,4,4,2,1,4,1,4,3,5,1
154,8,2,0,2,1,2,3,1,3,4,4,5,1,2,4,5,5,3,4
155,17,2,0,2,2,1,3,3,3,4,5,2,1,3,2,5,5,4,2
156,14,1,0,2,2,1,3,3,3,5,5,2,1,4,3,5,5,5,3
157,5,2,0,2,2,2,3,4,4,3,5,4,1,4,2,5,4,4,4
158,11,1,0,2,1,1,3,4,3,4,2,4,1,2,2,5,5,5,2
159,5,2,British shorthair ,1,1,1,3,5,4,3,3,2,1,2,2,4,4,4,2
160,8,2,Russian blue,2,1,1,4,3,3,3,2,3,1,3,4,5,3,4,4
161,8,1,0,2,1,1,3,4,4,1,3,2,1,3,3,4,3,3,1
162,13,1,Stray tabby,1,1,1,2,5,4,5,3,3,1,5,1,5,5,5,1
163,9,2,0,2,1,2,4,3,4,3,1,3,2,3,2,4,3,4,4
164,3,2,0,2,1,1,3,5,5,3,5,2,1,4,2,5,5,5,2
165,11,1,Burmese,2,2,1,3,5,3,4,5,1,1,3,1,5,5,5,1
166,5,1,0,2,1,1,3,5,4,4,5,2,1,4,2,5,5,5,1
167,4,2,0,2,1,1,3,4,4,4,5,4,2,4,2,4,4,4,4
168,2,2,0,2,1,1,3,4,4,4,2,3,1,4,1,5,3,5,3
169,14,2,0,2,1,2,3,5,5,5,2,1,1,4,1,5,4,5,1
170,8,1,0,1,1,1,4,4,4,3,4,1,2,4,3,4,4,4,1
171,7,2,maine coon,2,2,1,3,3,3,2,4,4,1,3,3,3,3,4,3
172,9,1,0,2,1,2,4,4,3,3,4,4,3,4,4,4,2,4,3
173,14,1,0,2,2,1,3,4,4,5,5,2,1,2,1,5,5,5,2
174,1,1,0,2,2,1,3,4,5,5,4,3,1,3,1,5,5,5,1
175,8,2,0,1,1,2,4,4,4,4,5,3,1,2,1,4,4,4,2
176,9,1,0,2,2,1,3,4,4,4,4,2,1,4,2,5,5,5,1
177,5,2,0,2,1,1,4,5,4,5,4,4,3,2,2,4,4,4,3
178,12,2,0,2,2,1,3,5,4,3,0,0,1,0,0,0,0,0,0
179,7,1,British Shorthair Classic Red Tabby,1,2,1,3,4,3,3,3,4,5,2,3,3,4,4,3
180,9,2,"appears to be russian blue, korat type",2,2,1,3,5,5,5,5,1,1,4,3,5,5,5,1
181,5,2,Bombay,1,1,1,3,4,4,3,5,1,1,3,2,4,5,5,1
182,7,1,0,1,1,1,3,4,4,4,5,2,1,4,1,5,5,5,2
183,9,1,0,2,1,1,3,4,4,5,4,2,1,2,2,4,3,5,2
184,13,2,0,2,1,2,4,3,3,5,3,4,1,3,3,5,3,3,4
185,7,2,0,2,1,1,3,5,5,5,4,1,1,3,3,4,4,5,3
186,5,2,0,2,1,2,3,3,3,4,2,2,3,3,3,4,3,3,2
187,6,1,0,2,1,2,3,5,3,1,4,2,1,3,2,5,4,5,2
188,6,1,0,2,1,1,3,4,3,1,2,3,1,3,4,4,2,4,2
189,9,2,0,2,2,1,3,5,4,5,5,4,1,5,2,5,5,5,1
190,4,1,0,1,1,2,3,4,3,3,0,0,1,0,0,0,0,0,0
191,2,2,Ragdoll,2,2,1,3,4,4,2,3,4,1,4,2,5,5,4,4
192,5,2,0,1,1,1,3,4,3,3,4,3,1,4,1,5,4,4,2
193,1,1,Modern siamese cat,1,1,1,3,5,5,5,5,2,1,4,1,5,5,5,2
194,9,1,0,1,2,1,3,3,4,5,5,2,1,5,1,5,5,5,3
195,2,2,0,2,1,1,3,5,5,4,4,2,1,3,2,5,5,5,1
196,17,1,0,1,2,1,2,4,3,4,5,1,1,1,1,5,5,5,1
197,4,2,0,2,1,1,3,5,4,3,4,2,3,4,2,4,4,5,1
198,24,1,0,2,1,2,2,3,3,3,5,4,1,3,2,4,4,4,2
199,2,1,0,1,1,2,3,3,4,3,4,5,1,3,3,4,4,4,5
200,4,1,0,2,1,1,3,5,5,5,5,2,1,3,1,5,5,5,2
201,10,2,0,2,1,1,4,4,4,4,4,2,1,4,1,5,5,5,1
202,5,1,0,2,1,1,3,5,4,5,5,1,1,2,5,5,5,5,1
203,5,1,0,2,1,1,4,5,5,5,4,2,3,1,2,4,3,3,5
204,5,1,0,1,1,1,3,5,4,4,4,2,1,5,1,5,5,5,2
205,6,2,Persian,1,2,1,2,5,4,1,4,5,1,4,3,4,2,4,3
206,5,2,0,2,1,2,2,4,4,5,4,2,1,4,1,4,5,5,3
207,18,2,0,2,2,1,3,4,4,3,5,2,1,2,3,4,5,4,1
208,2,1,0,2,2,2,3,5,5,1,5,4,1,4,1,4,3,4,4
209,14,1,Bermese ,2,1,1,4,3,3,3,5,4,1,2,4,3,4,3,4
210,5,1,0,2,1,1,3,4,4,3,3,3,1,3,1,5,4,5,3
211,12,2,0,1,1,1,3,4,4,4,2,3,1,2,3,5,2,5,4
212,11,1,Maine coon,2,1,1,3,5,5,4,5,3,1,4,1,5,5,5,3
213,1,1,British longhair ,2,1,1,3,5,4,3,4,2,1,3,1,5,4,5,1
214,8,2,0,2,2,1,3,4,5,5,5,2,1,4,2,5,5,5,1
215,19,2,0,2,2,1,2,3,3,3,3,1,1,4,2,4,4,4,1
216,4,1,0,2,1,1,3,5,5,5,2,3,1,3,3,4,2,4,1
217,3,1,0,2,1,1,3,5,5,5,2,3,1,2,1,5,4,4,2
218,8,1,0,2,1,2,3,5,5,4,5,3,1,3,3,5,4,5,3
219,15,1,0,2,1,2,3,4,3,3,4,4,1,2,3,4,3,5,4
220,4,1,0,2,1,1,3,4,5,5,2,3,1,3,2,5,3,4,3
221,2,1,Devon Rex,2,1,1,3,5,5,5,5,1,1,5,1,5,5,5,1
222,8,1,0,2,1,1,3,5,4,3,4,2,1,4,3,4,5,5,2
223,6,1,tabby,2,1,1,3,4,3,4,4,1,3,5,3,5,5,5,1
224,7,1,0,2,1,1,3,5,5,4,5,1,1,4,1,5,5,5,1
225,12,1,Siamese cross,2,2,2,3,4,3,5,5,4,1,3,1,5,5,3,4
226,13,2,0,2,2,1,2,4,3,3,4,2,1,3,1,5,5,5,2
227,8,2,0,2,1,1,3,4,4,3,5,3,1,3,2,4,4,4,2
228,3,1,0,1,1,1,3,4,5,5,1,2,1,2,2,4,1,4,4
229,4,2,0,2,1,1,3,5,3,4,5,2,1,4,3,5,4,5,1
230,9,2,Burmeese,2,1,1,3,4,3,1,4,2,1,5,1,5,5,5,1
231,8,1,0,2,1,1,4,4,4,3,0,0,3,0,0,0,0,0,0
232,19,1,0,2,2,2,3,1,3,3,4,2,1,4,2,5,4,5,2
233,14,2,0,2,1,1,4,3,3,1,3,3,1,3,3,3,3,3,1
234,8,2,0,2,2,1,3,4,5,3,4,1,1,5,2,4,4,4,1
235,6,2,0,2,1,1,4,5,3,3,3,2,1,4,2,5,3,5,2
236,9,2,0,2,2,1,3,4,4,3,4,2,1,2,2,5,5,4,3
237,2,1,0,2,1,1,3,5,3,3,0,0,1,0,0,0,0,0,0
238,2,2,0,2,1,1,3,4,3,2,5,5,1,4,3,5,4,3,5
239,16,2,0,2,2,2,4,4,3,4,1,2,1,1,3,3,2,4,2
240,6,1,Ragdoll ,2,1,1,3,4,4,3,4,2,1,3,2,4,5,5,2
241,14,2,Moggy. Tabby,2,2,2,3,5,3,4,5,2,1,4,1,5,4,4,3
242,14,1,0,2,2,1,3,4,4,4,5,3,1,4,3,4,4,4,3
243,9,2,Ragdoll,2,1,1,3,4,3,1,0,0,1,0,0,0,0,0,0
244,10,1,0,2,1,1,3,4,3,4,2,2,2,2,2,4,4,5,2
245,4,1,0,2,1,1,3,4,3,2,3,4,2,2,4,4,4,4,2
246,10,1,0,2,1,1,3,5,5,3,4,2,1,4,4,4,4,5,1
247,10,1,0,2,1,1,4,4,3,3,5,3,1,4,2,5,5,4,3
248,4,1,0,2,1,1,3,3,4,3,2,5,1,2,3,5,4,4,4
249,8,2,0,2,1,1,4,5,5,4,2,2,1,4,2,5,5,5,2
250,12,1,0,2,2,1,3,2,3,3,4,2,1,4,2,4,4,5,1
251,8,2,0,2,2,1,3,5,4,4,5,1,1,5,1,5,5,5,2
252,4,1,0,2,1,1,3,5,3,3,4,1,1,3,2,4,4,4,2
253,1,1,0,2,1,1,3,5,4,3,4,4,1,3,2,4,4,4,3
254,9,1,0,2,1,1,4,5,4,4,3,2,1,4,2,4,4,4,2
255,16,1,0,2,1,1,3,3,3,1,4,4,1,4,2,4,4,5,2
256,12,1,0,2,1,2,3,4,5,3,2,2,1,4,2,5,5,5,2
257,8,2,0,2,1,2,3,4,4,1,2,3,1,3,4,4,2,4,2
258,2,1,0,1,1,1,3,4,4,3,4,4,1,4,3,3,4,5,4
259,1,1,0,2,1,1,3,5,4,3,4,2,1,3,2,4,4,4,2
260,12,2,siamese,2,2,1,3,2,2,4,5,1,1,3,2,5,5,5,1
261,2,2,0,2,1,1,3,5,5,5,4,2,1,4,3,4,5,5,1
262,6,2,0,2,2,1,3,4,3,3,5,2,2,4,2,5,5,5,2
263,5,2,0,1,2,1,3,5,4,4,4,2,2,5,3,4,3,4,2
264,18,2,0,2,2,2,2,3,3,4,2,2,1,5,2,5,4,5,1
265,3,1,0,2,1,1,3,5,5,1,0,0,1,0,0,0,0,0,0
266,3,2,0,2,1,1,3,5,3,4,4,4,1,3,2,5,4,5,2
267,12,1,0,2,1,1,3,3,3,5,5,2,1,2,5,5,5,5,1
268,11,2,0,2,2,1,4,3,3,3,5,3,1,2,4,5,3,3,3
269,8,2,0,2,1,1,3,4,3,3,2,2,1,2,2,4,3,4,2
270,5,2,0,2,1,1,3,5,4,4,4,2,1,2,2,4,4,4,2
271,11,1,0,2,1,1,4,4,3,2,5,3,1,5,3,5,5,5,1
272,11,2,0,2,1,1,3,3,4,1,4,5,1,2,4,5,5,5,3
273,7,2,0,2,1,1,3,5,1,5,5,2,1,5,3,5,5,5,1
274,3,1,0,2,1,1,4,4,5,4,5,4,1,3,2,5,5,5,3
275,2,1,0,2,1,1,3,5,4,3,4,2,1,3,2,5,4,5,2
276,8,2,0,2,1,1,3,5,5,3,2,2,1,5,3,5,4,5,2
277,3,2,0,2,1,1,3,4,3,1,2,5,1,2,3,3,2,3,4
278,1,2,0,2,1,2,3,4,5,3,4,4,1,3,1,5,4,4,3
279,10,1,0,2,1,1,3,3,4,3,4,2,3,3,2,4,2,4,4
280,13,2,0,2,1,1,3,4,3,3,4,2,1,3,2,4,4,5,2
281,9,1,0,2,1,1,3,4,3,3,4,2,1,4,1,5,4,4,1
282,4,1,0,1,1,1,1,5,5,5,5,3,1,4,2,5,4,5,2
283,5,2,0,1,1,1,4,4,3,4,5,3,1,3,2,4,4,5,2
284,4,1,0,2,1,1,5,3,3,4,3,3,1,3,2,4,3,4,3
285,3,2,0,2,1,1,3,5,3,3,3,3,1,3,2,5,4,5,1
286,6,1,0,2,1,1,3,5,5,3,5,1,1,4,3,4,4,5,3
287,2,1,0,2,2,1,4,3,4,3,5,4,1,3,3,4,4,4,2
288,7,1,0,2,1,1,4,4,3,4,5,3,1,4,2,5,5,5,1
289,8,1,0,2,1,1,3,5,5,3,2,4,1,4,4,4,2,4,4
290,12,2,0,2,1,1,2,4,3,4,4,3,1,3,2,4,4,4,2
291,2,1,0,2,1,1,4,5,4,4,4,1,1,4,2,4,4,4,2
292,7,1,0,2,1,1,3,4,5,4,4,2,1,4,2,5,5,5,1
293,11,2,0,2,1,1,3,5,5,3,5,1,1,5,1,5,5,5,1
294,2,1,0,2,1,1,3,4,3,3,4,3,1,3,2,4,4,3,2
295,4,2,0,1,2,2,2,4,5,5,4,2,1,5,1,5,4,5,3
296,2,1,0,2,1,2,3,5,5,1,4,3,2,3,2,4,3,4,3
297,4,2,0,2,1,1,4,3,4,3,2,3,1,4,3,4,2,4,2
298,4,1,British Shorthair Lilac Spotted,2,1,1,4,5,4,4,3,3,1,3,3,4,4,3,3
299,1,1,Ragdoll,2,1,2,3,3,3,5,5,1,1,3,1,5,5,5,1
300,12,1,0,2,1,1,3,4,4,3,3,4,1,3,4,4,3,3,3
301,1,1,0,1,1,1,3,5,4,3,5,2,1,5,2,3,4,5,1
302,6,2,0,2,1,1,4,4,4,5,4,3,1,4,2,5,4,4,3
303,2,1,Norwegian forest,2,1,1,2,5,3,1,4,2,2,4,3,2,4,5,2
304,4,1,0,2,1,1,3,5,4,5,5,5,1,5,3,5,5,5,1
305,11,1,0,1,1,2,3,5,5,5,4,2,3,4,2,4,4,4,2
306,8,1,0,2,2,2,4,3,3,4,4,3,2,1,2,5,4,4,4
307,2,2,0,2,2,1,3,5,5,3,4,2,1,4,3,4,4,5,2
308,12,1,Egyptian Mau (I have 2),1,2,2,3,4,3,3,5,3,1,4,3,5,5,4,2
309,7,1,0,2,2,1,3,4,4,4,5,2,1,3,1,5,5,5,2
310,7,1,0,1,2,2,3,5,5,5,5,3,1,4,2,5,5,5,2
311,19,2,0,1,2,2,1,4,1,5,2,4,3,4,3,4,4,3,4
312,8,1,Maine Coon,2,1,2,3,5,4,4,4,2,3,3,3,4,2,4,2
313,4,2,0,2,1,1,3,5,5,3,4,3,1,3,1,5,3,5,3
314,3,1,0,2,1,1,3,5,5,1,2,2,3,4,1,5,2,5,1
315,6,2,0,1,2,1,3,4,4,5,4,2,1,4,2,5,4,5,1
316,3,2,0,2,1,1,3,5,3,3,2,3,1,3,3,4,4,5,1
317,9,1,Bengal,1,1,2,3,5,5,5,5,3,1,2,1,5,5,5,3
318,7,2,0,2,1,2,4,3,4,3,4,4,1,2,3,4,2,3,4
319,12,2,0,2,2,1,3,3,3,1,4,3,1,2,3,4,4,4,4
320,6,2,0,2,1,1,4,4,5,5,4,2,3,2,1,5,4,5,2
321,2,1,0,2,1,2,4,5,5,5,4,2,1,3,2,4,4,4,2
322,9,1,0,2,1,1,3,4,3,4,4,1,1,4,3,4,4,4,2
323,5,2,0,2,1,1,3,5,5,3,4,2,1,3,2,4,4,4,2
324,1,2,0,2,1,1,3,5,5,3,3,2,1,4,2,4,4,4,2
325,7,1,Snowshoe,2,1,1,4,5,5,1,5,1,1,3,1,5,5,1,5
326,12,1,bengal cat,2,1,1,3,5,4,4,4,2,1,2,3,4,4,5,1
327,3,1,0,1,2,1,4,4,3,5,0,0,1,0,0,0,0,0,0
328,14,2,0,1,1,2,3,5,3,1,4,2,3,4,5,4,4,3,2
329,12,1,0,2,1,1,3,3,3,3,5,4,1,2,4,4,4,4,4
