,How old is your cat (years)?,Is your cat male or female?,Other (please specify).1,Does your cat have access to the outdoors?,Does your cat have any existing medical conditions?,Does your cat display any behavioural problems,How would you describe your cat's weight?,My cat is keen to explore new things in his/her environment,My cat is playful,My cat is vocal when around people,My cat is comfortable being picked up,My cat is timid,"My cat behaves aggressively (i.e. growls, hisses, bites and swipes with claws) towards me when I stroke him/her",My cat is quick to settle and to adapt to change,"My cat would prefer to be left alone, rather than be with people",My cat likes being stroked,My cat is very tolerant to being handled,My cat is friendly,My cat is fearful
42,2,Female,0,No,No,Yes,Normal,Always,Always,Always,Strongly disagree,Neither agree nor disagree,Once,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Neither agree nor disagree
43,6,Female,Sphynx,No,No,No,Overweight,Always,Usually,Always,Agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
44,13,Male,0,Yes,No,No,Overweight,Occasionally,Occasionally,Occasionally,Strongly agree,Neither agree nor disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
45,4,Male,0,Yes,No,No,Normal,Always,Occasionally,Occasionally,Agree,Disagree,Occasionally,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree
46,7,Male,0,Yes,Yes,No,Overweight,Occasionally,Occasionally,Usually,Disagree,Agree,Never,Disagree,Disagree,Agree,Disagree,Agree,Disagree
47,4,Male,0,Yes,No,No,Normal,Occasionally,Usually,Usually,Disagree,Strongly disagree,Occasionally,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree
48,7,Female,British Shorthair (British Blue),Yes,Yes,No,Normal,Always,Usually,Usually,Strongly disagree,Neither agree nor disagree,Never,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Neither agree nor disagree
49,2,Female,0,Yes,No,No,Normal,Always,Always,Always,Agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree
50,16,Female,Moggie,No,No,No,Normal,Occasionally,Occasionally,Occasionally,Disagree,Neither agree nor disagree,Never,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree
51,8,Male,0,Yes,No,Yes,Overweight,Usually,Occasionally,Usually,Neither agree nor disagree,Agree,Never,Disagree,Agree,Agree,Agree,Agree,Disagree
52,2,Female,0,Yes,No,Yes,Normal,Always,Usually,Always,Strongly disagree,Disagree,Occasionally,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree
53,1,Female,0,No,No,Yes,Normal,Usually,Always,Occasionally,Agree,Strongly disagree,Occasionally,Agree,Disagree,Agree,Agree,Strongly agree,Disagree
54,4,Male,0,Yes,No,No,Normal,Usually,Always,Occasionally,Strongly agree,Neither agree nor disagree,Never,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree
55,2,Female,0,Yes,Yes,Yes,Normal,Always,Occasionally,Occasionally,Agree,Agree,Never,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree
56,14,Male,0,Yes,No,No,Normal,Usually,Usually,Usually,Agree,Disagree,Never,Neither agree nor disagree,Disagree,Strongly agree,Agree,Strongly agree,Disagree
57,15,Male,0,Yes,Yes,Yes,Normal,Usually,Occasionally,Usually,Neither agree nor disagree,Agree,Never,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree
58,6,Female,0,Yes,No,No,Normal,Usually,Usually,Occasionally,Agree,Neither agree nor disagree,Never,Agree,Disagree,Strongly agree,Agree,Agree,Disagree
59,4,Male,0,Yes,No,No,Normal,Usually,Usually,Usually,Strongly agree,Disagree,Never,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
60,1,Female,0,Yes,No,No,Overweight,Always,Always,Usually,Agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
61,4,Male,0,No,No,No,Normal,Always,Usually,Usually,Strongly agree,Disagree,Never,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree
62,1,Male,0,Yes,No,No,Normal,Always,Always,Occasionally,Disagree,Neither agree nor disagree,Occasionally,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
63,14,Male,0,Yes,No,No,Normal,Usually,Occasionally,Occasionally,Agree,Agree,Never,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree
64,7,Male,0,Yes,No,No,Overweight,Usually,Usually,Usually,Disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
65,4,Male,0,Yes,No,Yes,Normal,Always,Usually,Usually,Agree,Disagree,Never,Disagree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree
66,9,Female,0,Yes,No,No,Normal,Always,Always,Usually,Agree,Strongly disagree,Never,Strongly agree,Disagree,Agree,Agree,Strongly agree,Disagree
67,4,Female,Maine coon ,Yes,No,No,Normal,Usually,Usually,Always,Strongly agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
68,1,Male,0,No,No,No,Normal,Always,Usually,Occasionally,Agree,Disagree,Never,Agree,Disagree,Agree,Agree,Agree,Strongly disagree
69,4,Male,0,Yes,No,No,Overweight,Always,Usually,Occasionally,Neither agree nor disagree,Disagree,Never,Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Disagree
70,18,Female,0,No,No,No,Underweight,Occasionally,Occasionally,Occasionally,Neither agree nor disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
71,2,Male,0,Yes,No,No,Normal,Always,Usually,Never,Disagree,Strongly disagree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Strongly disagree
72,9,Female,0,Yes,No,No,Overweight,Always,Always,Always,Agree,Neither agree nor disagree,Never,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
73,13,Male,0,Yes,No,No,Overweight,Occasionally,Always,Always,Neither agree nor disagree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
74,9,Male,Maine Coon,Yes,No,No,Normal,Always,Occasionally,Occasionally,0,0,Never,0,0,0,0,0,0
75,12,Female,0,Yes,No,No,Very overweight,Always,Usually,Always,Strongly disagree,Disagree,Once,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree
76,2,Female,0,Yes,No,No,Normal,Usually,Always,Occasionally,Strongly disagree,Disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
77,7,Female,0,No,Yes,Yes,Overweight,Usually,Usually,Usually,Disagree,Strongly disagree,Never,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree
78,7,Male,0,Yes,No,Yes,Overweight,Usually,Usually,Usually,Disagree,Disagree,Occasionally,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
79,4,Male,0,Yes,No,No,Normal,Usually,Usually,Usually,Strongly agree,Agree,Never,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree
80,13,Male,Bengal,Yes,Yes,Yes,Normal,Always,Occasionally,Always,Disagree,Agree,Never,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree
81,13,Male,0,Yes,Yes,No,Underweight,Always,Occasionally,Always,Neither agree nor disagree,Strongly disagree,Never,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
82,2,Male,0,Yes,No,Yes,Normal,Usually,Occasionally,Occasionally,Disagree,Agree,Occasionally,Disagree,Disagree,Disagree,Disagree,Disagree,Agree
83,3,Male,0,Yes,No,No,Normal,Always,Usually,Always,Disagree,Strongly disagree,Occasionally,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree
84,3,Female,0,Yes,No,No,Normal,Always,Always,Usually,Strongly agree,Strongly disagree,Never,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
85,3,Male,0,Yes,No,No,Normal,Always,Always,Always,Neither agree nor disagree,Agree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
86,10,Male,0,Yes,No,No,Normal,Once,Occasionally,Usually,Neither agree nor disagree,Neither agree nor disagree,Never,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree
87,6,Female,Sphynx,Yes,No,Yes,Normal,Always,Occasionally,Never,Strongly agree,Strongly disagree,Never,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree
88,5,Male,0,Yes,No,No,Normal,Always,Always,Always,Agree,Neither agree nor disagree,Never,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree
89,13,Female,0,Yes,No,Yes,Underweight,Occasionally,Occasionally,Usually,Neither agree nor disagree,Agree,Never,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree
90,3,Male,0,No,Yes,Yes,Normal,Always,Always,Occasionally,Disagree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
91,5,Female,0,Yes,No,No,Normal,Usually,Usually,Occasionally,Neither agree nor disagree,Agree,Occasionally,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree
92,4,Male,0,Yes,No,No,Normal,Usually,Usually,Always,Strongly agree,Disagree,Occasionally,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
93,4,Male,0,No,No,No,Normal,Always,Usually,Once,Strongly agree,Neither agree nor disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
94,10,Male,0,Yes,No,Yes,Normal,Usually,Occasionally,Once,Agree,Agree,Never,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree
95,18,Male,0,Yes,Yes,No,Normal,Occasionally,Occasionally,Always,Strongly agree,Strongly disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
96,7,Male,Siamese,Yes,No,Yes,Normal,Always,Occasionally,Always,Neither agree nor disagree,Disagree,Never,Disagree,Disagree,Agree,Agree,Agree,Disagree
97,7,Female,0,No,No,No,Normal,Usually,Occasionally,Usually,Agree,Disagree,Never,Neither agree nor disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree
98,15,Male,0,Yes,No,No,Normal,Occasionally,Once,Always,Strongly agree,Neither agree nor disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree
99,14,Male,Persian ,Yes,Yes,No,Underweight,Usually,Occasionally,Always,Disagree,Agree,Never,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree
100,14,Male,0,Yes,No,No,Overweight,Always,Usually,Occasionally,Disagree,Strongly disagree,Never,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly disagree
101,11,Female,0,Yes,No,No,Overweight,Usually,Occasionally,Usually,Agree,Disagree,Never,Disagree,Disagree,Agree,Agree,Agree,Disagree
102,5,Female,0,Yes,No,No,Normal,Always,Usually,Occasionally,Strongly disagree,Neither agree nor disagree,Never,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree
103,3,Male,0,Yes,No,No,Normal,Usually,Usually,Usually,Disagree,Strongly disagree,Occasionally,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly disagree
104,7,Female,0,Yes,Yes,No,Underweight,Occasionally,Occasionally,Usually,Neither agree nor disagree,Neither agree nor disagree,Once,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree
105,11,Female,0,Yes,No,No,Overweight,Always,Occasionally,Occasionally,Strongly agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
106,4,Male,0,Yes,No,No,Normal,Always,Usually,Never,Disagree,Agree,Never,Agree,Disagree,Strongly agree,Agree,Agree,Disagree
107,4,Female,0,Yes,No,No,Normal,Always,Usually,Occasionally,Disagree,Disagree,Once,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree
108,5,Male,0,Yes,No,No,Normal,Always,Usually,Usually,Agree,Disagree,Never,Agree,Disagree,Agree,Agree,Agree,Strongly disagree
109,1,Female,0,No,No,No,Normal,Always,Always,Occasionally,Agree,Disagree,Never,Agree,Disagree,Agree,Agree,Agree,Disagree
110,5,Male,0,Yes,No,No,Normal,Usually,Usually,Usually,Neither agree nor disagree,Strongly disagree,Never,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree
111,6,Male,0,Yes,Yes,Yes,Normal,Always,Always,Occasionally,Neither agree nor disagree,Disagree,Never,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
112,6,Male,0,Yes,Yes,No,Normal,Usually,Usually,Usually,Disagree,Strongly disagree,Never,Strongly agree,Disagree,Strongly agree,Agree,Agree,Strongly disagree
113,1,Female,0,Yes,No,No,Underweight,Usually,Occasionally,Always,Agree,Agree,Never,Disagree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree
114,7,Male,0,Yes,No,No,Normal,Always,Always,Always,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
115,1,Female,0,Yes,No,No,Normal,Always,Always,Occasionally,Strongly agree,Strongly disagree,Once,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree
116,2,Female,0,Yes,No,No,Normal,Usually,Always,Always,Agree,Disagree,Never,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Agree
117,11,Male,0,No,No,No,Normal,Usually,Usually,Never,Agree,Neither agree nor disagree,Never,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree
118,18,Female,0,Yes,No,Yes,Normal,Occasionally,Never,Usually,Disagree,Agree,Never,Disagree,Agree,Agree,Strongly disagree,Agree,Neither agree nor disagree
119,12,Male,0,Yes,Yes,No,Overweight,Occasionally,Occasionally,Usually,Agree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
120,6,Male,0,Yes,No,No,Normal,Always,Usually,Occasionally,Strongly agree,Neither agree nor disagree,Never,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree
121,5,Female,Canadian Sphynx,No,No,Yes,Normal,Always,Always,Always,Neither agree nor disagree,Strongly disagree,Never,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree
122,18,Female,0,Yes,Yes,Yes,Very underweight,Usually,Occasionally,Usually,Strongly agree,Strongly disagree,Never,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree
123,2,Male,0,Yes,No,No,Normal,Occasionally,Usually,Occasionally,0,0,Always,0,0,0,0,0,0
124,14,Female,0,Yes,No,No,Normal,Usually,Occasionally,Occasionally,Neither agree nor disagree,Agree,Never,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree
125,4,Male,0,Yes,No,No,Normal,Occasionally,Usually,Occasionally,Strongly agree,Agree,Never,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
126,1,Male,0,Yes,No,No,Normal,Usually,Usually,Usually,Neither agree nor disagree,Disagree,Occasionally,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Agree,Disagree
127,4,Female,0,Yes,No,No,Normal,Always,Always,Never,Strongly agree,Agree,Never,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
128,6,Male,0,No,No,No,Normal,Usually,Occasionally,Usually,Agree,Neither agree nor disagree,Never,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree
129,2,Male,0,Yes,No,No,Normal,Usually,Usually,Never,Agree,Neither agree nor disagree,Never,Disagree,Disagree,Agree,Agree,Agree,Disagree
130,8,Male,0,Yes,No,No,Overweight,Always,Usually,Occasionally,Disagree,Disagree,Never,Disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree
131,5,Male,0,Yes,No,No,Normal,Usually,Usually,Usually,Agree,Neither agree nor disagree,Never,Disagree,Disagree,Agree,Disagree,Agree,Disagree
132,2,Male,0,Yes,No,Yes,Normal,Occasionally,Usually,Usually,Agree,Strongly agree,Never,Neither agree nor disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree
133,2,Male,0,Yes,No,Yes,Normal,Occasionally,Usually,Always,Neither agree nor disagree,Strongly agree,Never,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Disagree
134,1,Female,0,Yes,No,No,Normal,Always,Usually,Usually,Agree,Neither agree nor disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree
135,2,Male,0,Yes,No,No,Normal,Always,Always,Occasionally,Strongly agree,Agree,Never,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree
136,4,Male,0,No,No,Yes,Normal,Usually,Always,Always,Agree,Disagree,Once,Neither agree nor disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree
137,14,Male,Ragdoll,No,No,No,Normal,Usually,Usually,Usually,Strongly agree,Neither agree nor disagree,Never,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree
138,5,Male,Burmese,No,No,No,Normal,Always,Always,Always,Strongly agree,Neither agree nor disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
139,5,Female,0,Yes,No,No,Normal,Always,Always,Occasionally,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
140,8,Male,0,Yes,No,No,Normal,Usually,Usually,Never,Agree,Neither agree nor disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree
141,4,Female,0,Yes,No,No,Normal,Usually,Usually,Always,Agree,Neither agree nor disagree,Never,Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree
142,7,Male,0,Yes,No,No,Overweight,Once,Occasionally,Occasionally,Strongly agree,Agree,Once,Disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree
143,6,Female,0,No,No,Yes,Normal,Usually,Occasionally,Occasionally,Strongly disagree,Strongly agree,Occasionally,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Strongly agree
144,9,Male,Birmin,Yes,No,No,Overweight,Usually,Usually,Usually,Disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
145,5,Female,0,Yes,No,No,Normal,Always,Always,Never,0,0,Occasionally,0,0,0,0,0,0
146,1,Male,0,Yes,No,No,Normal,Occasionally,Always,Always,Strongly agree,Agree,Never,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
147,7,Male,0,Yes,No,Yes,Normal,Always,Usually,Never,Neither agree nor disagree,Disagree,Occasionally,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree
148,6,Male,0,Yes,Yes,Yes,Overweight,Always,Usually,Occasionally,Agree,Strongly disagree,Never,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
