id,How old is your cat (years)?,Is your cat male or female?,Other (please specify).1,Does your cat have access to the outdoors?,Does your cat have any existing medical conditions?,Does your cat display any behavioural problems,How would you describe your cat's weight?,My cat is keen to explore new things in his/her environment,My cat is playful,My cat is vocal when around people,My cat is comfortable being picked up,My cat is timid,"My cat behaves aggressively (i.e. growls, hisses, bites and swipes with claws) towards me when I stroke him/her",My cat is quick to settle and to adapt to change,"My cat would prefer to be left alone, rather than be with people",My cat likes being stroked,My cat is very tolerant to being handled,My cat is friendly,My cat is fearful
2155,2,Male,0,Yes,No,No,Normal,Always,Always,Always,Agree,Strongly disagree,Never,Agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree
330,5,Female,Med hair,Yes,No,No,Normal,Always,Always,Always,Neither agree nor disagree,Agree,Never,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
1736,4,Male,0,Yes,No,Yes,Overweight,Usually,Usually,Occasionally,Strongly agree,Strongly agree,Never,Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree
1103,1,Male,0,Yes,No,No,Normal,Usually,Usually,Occasionally,Strongly disagree,Agree,Never,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree
1316,4,Male,0,Yes,No,Yes,Normal,Always,Usually,Occasionally,Disagree,Disagree,Never,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Disagree
906,8,Male,0,Yes,No,No,Overweight,Usually,Occasionally,Usually,Strongly agree,Strongly disagree,Never,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree
2279,3,Male,0,Yes,Yes,No,Normal,Always,Always,Always,Strongly agree,Neither agree nor disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
2322,18,Female,0,Yes,No,No,Underweight,Always,Usually,Occasionally,Agree,Disagree,Never,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree
262,6,Female,0,Yes,Yes,No,Normal,Usually,Occasionally,Occasionally,Strongly agree,Disagree,Once,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
2686,12,Female,tonkinese,Yes,No,No,Normal,Occasionally,Occasionally,Occasionally,Strongly agree,Disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
1307,10,Female,0,Yes,Yes,Yes,Overweight,Always,Occasionally,Never,Strongly agree,Disagree,Never,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
1815,12,Male,0,Yes,No,No,Overweight,Occasionally,Usually,Usually,Agree,Disagree,Never,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree
3096,5,Male,Maine Coon,No,No,No,Normal,Always,Occasionally,Always,Agree,Strongly disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
3061,5,Female,Somali,No,No,No,Overweight,Always,Always,Always,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2084,7,Female,0,Yes,No,No,Underweight,Always,Usually,Usually,Disagree,Agree,Never,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Strongly disagree
2381,10,Male,0,Yes,No,No,Overweight,Usually,Occasionally,Occasionally,Strongly disagree,Neither agree nor disagree,Never,Disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree
813,1,Male,0,No,No,No,Normal,Always,Always,Occasionally,Strongly agree,Strongly agree,Occasionally,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree
1021,12,Male,0,Yes,No,Yes,Normal,Usually,Occasionally,Occasionally,Disagree,Neither agree nor disagree,Occasionally,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree
2165,9,Male,0,Yes,No,No,Overweight,Always,Usually,Occasionally,Strongly disagree,Neither agree nor disagree,Occasionally,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree
165,11,Male,Burmese,Yes,Yes,No,Normal,Always,Occasionally,Usually,Strongly agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2359,15,Female,0,Yes,Yes,No,Underweight,Usually,Occasionally,Occasionally,Strongly agree,Agree,Never,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree
2519,17,Male,0,Yes,Yes,Yes,Normal,Always,Usually,Always,Strongly agree,Strongly agree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
102,5,Female,0,Yes,No,No,Normal,Always,Usually,Occasionally,Strongly disagree,Neither agree nor disagree,Never,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree
3310,17,Male,Bengal,No,Yes,No,Underweight,Usually,Usually,Always,Strongly agree,Disagree,Never,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
1380,8,Male,0,No,No,Yes,Normal,Usually,Occasionally,Never,Strongly agree,Agree,Never,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Disagree
2739,15,Female,0,Yes,Yes,Yes,Normal,Always,Usually,Always,Disagree,Disagree,Never,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree
896,1,Female,0,Yes,No,Yes,Normal,Occasionally,Usually,Never,Disagree,Strongly agree,Once,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Agree
544,3,Male,0,Yes,No,No,Normal,Always,Always,Always,Neither agree nor disagree,Strongly disagree,Never,Agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree
2259,17,Female,0,Yes,Yes,No,Underweight,Usually,Usually,Usually,Strongly disagree,Agree,Never,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree
2201,1,Female,0,Yes,No,No,Normal,Always,Always,Occasionally,Neither agree nor disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree
3316,6,Male,0,No,No,Yes,Normal,Always,Always,Always,Strongly agree,Neither agree nor disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
1645,6,Male,0,Yes,No,No,Overweight,Usually,Occasionally,Occasionally,Strongly agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
2545,7,Male,Sphynx,Yes,No,No,Normal,Always,Usually,Always,Strongly agree,Strongly disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
1856,8,Male,0,Yes,Yes,No,Normal,Usually,Occasionally,Never,Neither agree nor disagree,Agree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree
3288,14,Female,0,Yes,Yes,No,Overweight,Usually,Occasionally,Once,Strongly disagree,Agree,Once,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
1030,8,Male,Burmilla (Asian),Yes,No,Yes,Normal,Always,Usually,Occasionally,Strongly agree,Strongly disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
2852,2,Female,0,No,No,No,Normal,Usually,Usually,Occasionally,Neither agree nor disagree,Disagree,Occasionally,Agree,Disagree,Strongly agree,Agree,Agree,Disagree
2347,7,Female,Siamese,Yes,No,No,Normal,Usually,Always,Always,Strongly agree,Neither agree nor disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
1176,2,Male,0,Yes,No,No,Normal,Usually,Usually,Occasionally,Agree,Agree,Never,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
605,21,Female,0,Yes,Yes,No,Normal,Usually,Occasionally,Always,Agree,Disagree,Never,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree
2022,6,Female,0,Yes,No,Yes,Normal,Occasionally,Occasionally,Never,Disagree,Agree,Never,Disagree,Agree,Disagree,Disagree,Disagree,Disagree
3210,1,Male,0,Yes,Yes,No,Normal,Usually,Occasionally,Occasionally,Disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Disagree
2226,1,Female,0,Yes,No,No,Normal,Always,Always,Usually,Strongly agree,Disagree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree
2889,1,Female,0,No,No,No,Underweight,Always,Always,Usually,Strongly disagree,Agree,Never,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree
382,6,Male,0,Yes,Yes,No,Overweight,Occasionally,Occasionally,Occasionally,Neither agree nor disagree,Disagree,Never,Strongly agree,Disagree,Agree,Agree,Strongly agree,Disagree
2337,6,Male,Moggy,Yes,No,No,Normal,Usually,Usually,Occasionally,Agree,Disagree,Never,Agree,Disagree,Agree,Agree,Agree,Disagree
2029,5,Female,Ocicat,Yes,No,No,Normal,Always,Always,Always,Strongly agree,Strongly disagree,Never,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree
895,22,Male,0,Yes,Yes,No,Underweight,Usually,Never,Usually,Strongly agree,Disagree,Never,Agree,Disagree,Agree,Strongly agree,Agree,Disagree
2234,16,Male,0,Yes,Yes,No,Normal,Usually,Usually,Never,Neither agree nor disagree,Agree,Never,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
98,15,Male,0,Yes,No,No,Normal,Occasionally,Once,Always,Strongly agree,Neither agree nor disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree
464,3,Male,Tonkineses,Yes,No,No,Normal,Usually,Usually,Usually,Agree,Neither agree nor disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Agree
2457,3,Male,0,Yes,No,No,Normal,Always,Occasionally,Never,Neither agree nor disagree,Neither agree nor disagree,Never,Disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree
93,4,Male,0,No,No,No,Normal,Always,Usually,Once,Strongly agree,Neither agree nor disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
1004,6,Male,Maine Coon,Yes,No,No,Normal,Always,Always,Always,Strongly agree,Strongly agree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
2884,2,Male,0,Yes,No,No,Normal,Always,Always,Always,Neither agree nor disagree,Disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree
7,8,Male,0,No,No,No,Normal,Usually,Usually,Usually,Strongly agree,Disagree,Never,Agree,Strongly disagree,Agree,Agree,Strongly agree,Disagree
700,1,Male,Bengal,Yes,Yes,No,Normal,Always,Always,Always,Strongly agree,Agree,Never,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree
610,2,Male,0,Yes,No,No,Normal,Always,Always,Always,Strongly disagree,Disagree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree
2606,4,Female,0,Yes,Yes,Yes,Normal,Occasionally,Occasionally,Usually,Agree,Strongly agree,Never,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
3059,11,Male,Siamese,No,Yes,No,Normal,Usually,Usually,Never,Agree,Strongly disagree,Never,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
1074,5,Male,0,Yes,No,Yes,Normal,Always,Occasionally,Occasionally,Strongly agree,Strongly disagree,Occasionally,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree
161,8,Male,0,Yes,No,No,Normal,Usually,Usually,Never,Neither agree nor disagree,Disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
187,6,Male,0,Yes,No,Yes,Normal,Always,Occasionally,Never,Agree,Disagree,Never,Neither agree nor disagree,Disagree,Strongly agree,Agree,Strongly agree,Disagree
171,7,Female,maine coon,Yes,Yes,No,Normal,Occasionally,Occasionally,Once,Agree,Agree,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
586,1,Female,0,Yes,No,No,Normal,Always,Always,Always,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree
1744,16,Female,0,Yes,No,No,Normal,Usually,Occasionally,Usually,Agree,Strongly disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
2429,5,Female,0,Yes,No,No,Normal,Always,Occasionally,Never,Neither agree nor disagree,Neither agree nor disagree,Never,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree
1970,1,Male,0,Yes,No,Yes,Normal,Usually,Usually,Occasionally,Neither agree nor disagree,Strongly agree,Occasionally,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly agree
440,1,Female,Maine coon,No,No,No,Normal,Always,Always,Occasionally,Agree,Agree,Never,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree
2114,4,Female,0,No,No,No,Normal,Occasionally,Occasionally,Usually,Agree,Neither agree nor disagree,Never,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree
1606,9,Male,0,Yes,No,No,Overweight,Occasionally,Occasionally,Usually,Agree,Agree,Never,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree
671,3,Female,0,Yes,No,No,Normal,Usually,Usually,Usually,Agree,Disagree,Occasionally,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
1039,1,Female,Bengal,Yes,No,No,Normal,Always,Always,Occasionally,Neither agree nor disagree,Strongly disagree,Never,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree
368,1,Female,0,Yes,No,No,Overweight,Always,Usually,Occasionally,Strongly agree,Neither agree nor disagree,Never,Agree,Disagree,Agree,Strongly agree,Strongly agree,Disagree
546,5,Female,0,No,No,No,Normal,Always,Usually,Usually,Disagree,Disagree,Once,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree
2170,7,Female,0,Yes,No,No,Normal,Always,Usually,Occasionally,Agree,Neither agree nor disagree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Strongly disagree
1719,8,Male,0,Yes,No,Yes,Overweight,Always,Usually,Usually,Agree,Strongly disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
1162,13,Male,0,Yes,No,Yes,Overweight,Usually,Occasionally,Always,Strongly agree,Disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
936,2,Male,0,Yes,No,No,Normal,Usually,Occasionally,Occasionally,Neither agree nor disagree,Agree,Never,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree
2344,1,Female,0,No,No,No,Normal,Always,Always,Usually,0,0,Never,0,0,0,0,0,0
2292,2,Male,0,Yes,No,No,Normal,Usually,Occasionally,Always,Neither agree nor disagree,Neither agree nor disagree,Never,Agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree
3170,10,Male,0,Yes,Yes,Yes,Normal,Occasionally,Occasionally,Usually,Strongly agree,Strongly disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2701,1,Male,0,Yes,No,No,Normal,Usually,Always,Occasionally,Strongly disagree,Strongly agree,Never,Agree,Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree
1404,2,Female,Calico,No,No,No,Normal,Usually,Usually,Always,Neither agree nor disagree,Agree,Never,Disagree,Strongly disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree
3182,5,Female,0,Yes,Yes,No,Normal,Usually,Always,Occasionally,Agree,Disagree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree
1519,2,Male,0,Yes,No,No,Normal,Usually,Usually,Never,Strongly agree,Agree,Never,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
797,8,Male,Bengal ,No,No,No,Normal,Always,Always,Always,Strongly agree,Neither agree nor disagree,Never,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree
2982,5,Female,0,Yes,No,No,Normal,Usually,Usually,Occasionally,Strongly agree,Neither agree nor disagree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree
784,8,Male,0,Yes,No,No,Normal,Usually,Usually,Always,Disagree,Neither agree nor disagree,Never,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Disagree
13,3,Female,0,Yes,No,No,Overweight,Usually,Occasionally,Once,Disagree,Disagree,Never,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree
