index,cat_age,cat_gender,breed,needs_outdoor,medical_conditions,behavioural_problems,cat_weight,likes_to_explore,playful,vocal,picked_up,timid,aggressive,adapts_quickly,prefers_alone,likes_stroke,tolerant_handled,friendly,fearful,adopter_gender,adopter_age,other_cats,outdoor_access,worries,easily_nervous,remains_calm,talkative,outgoing,reserved,new_ideas,values_artistic,active_imagination,rude,forgiving,considerate,thorough job,lazy,efficient,satisf_level
36,6,2,0,1,1,1,3,5,5,1,5,1,1,3,1,5,5,5,1,2,4,6.0,1,4,4,5,4,3,4,5,2,3,1,4,5,5,2,4,1.0
37,3,1,0,1,1,1,4,3,3,3,4,3,3,3,2,4,3,4,2,2,4,1.0,1,3,1,4,2,2,5,5,4,4,3,2,4,5,1,4,0.9
38,16,2,Seal Point Siamese,1,2,2,2,3,3,5,5,1,3,3,1,5,4,5,4,2,2,2.0,1,5,5,2,5,4,2,3,3,2,3,4,4,4,4,3,1.0
39,2,2,0,1,1,1,3,4,4,3,3,2,1,3,2,4,4,4,3,2,2,2.0,1,2,4,5,4,3,4,2,5,2,4,5,3,4,4,5,1.0
40,9,1,0,1,1,1,4,3,5,3,5,4,1,2,2,4,4,4,3,2,2,1.0,1,4,4,4,2,2,4,3,4,5,4,2,3,3,4,4,1.0
41,7,1,0,2,1,1,3,4,4,4,5,3,1,2,2,5,5,4,2,2,2,0.0,2,3,3,4,2,2,4,4,4,4,2,4,4,5,4,4,1.0
42,2,2,0,1,1,2,3,5,5,5,1,3,2,4,1,4,2,5,3,2,3,0.0,1,5,5,4,4,4,4,5,3,4,2,5,5,5,4,5,1.0
43,6,2,Sphynx,1,1,1,4,5,4,5,4,1,1,3,1,5,5,5,1,2,2,1.0,1,5,3,5,4,3,4,4,4,5,1,4,5,5,1,4,0.95
44,13,1,0,2,1,1,4,3,3,3,5,3,1,3,3,5,5,3,3,2,4,0.0,2,5,2,2,4,3,4,5,5,5,2,4,5,3,3,3,1.0
45,4,1,0,2,1,1,3,5,3,3,4,2,3,3,2,4,4,4,2,2,4,0.0,2,3,2,4,2,2,4,4,2,2,2,4,4,5,3,4,0.85
46,7,1,0,2,2,1,4,3,3,4,2,4,1,2,2,4,2,4,2,2,5,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
47,4,1,0,2,1,1,3,3,4,4,2,1,3,2,3,4,3,3,2,2,2,1.0,2,4,4,2,4,3,4,4,5,4,4,4,2,2,4,1,0.85
48,7,2,British Shorthair (British Blue),2,2,1,3,5,4,4,1,3,1,4,1,5,2,4,3,2,4,1.0,2,5,2,4,5,5,2,3,4,4,3,5,5,4,4,3,0.9
49,2,2,0,2,1,1,3,5,5,5,4,1,1,5,1,4,3,5,1,2,2,0.0,2,3,2,4,4,4,4,3,1,4,4,3,4,4,4,5,0.85
50,16,2,Moggie,1,1,1,3,3,3,3,2,3,1,4,3,4,2,3,3,2,3,0.0,1,5,4,4,3,4,4,4,5,2,1,5,5,4,2,4,0.85
51,8,1,0,2,1,2,4,4,3,4,3,4,1,2,4,4,4,4,2,2,3,0.0,2,3,2,5,5,5,2,5,3,5,2,4,4,5,1,4,0.55
52,2,2,0,2,1,2,3,5,4,5,1,2,3,4,2,2,1,4,4,2,2,0.0,2,5,5,2,1,1,5,5,5,5,2,5,5,4,3,4,0.9
53,1,2,0,1,1,2,3,4,5,3,4,1,3,4,2,4,4,5,2,2,3,1.0,1,4,2,4,3,4,4,1,4,4,4,4,3,5,4,4,0.8
54,4,1,0,2,1,1,3,4,5,3,5,3,1,5,2,5,5,4,2,2,5,0.0,2,4,2,4,4,3,4,4,4,4,2,4,4,4,2,4,1.0
55,2,2,0,2,2,2,3,5,3,3,4,4,1,4,4,4,3,4,2,2,1,1.0,2,4,5,4,4,4,4,4,5,4,2,5,5,5,4,5,0.85
56,14,1,0,2,1,1,3,4,4,4,4,2,1,3,2,5,4,5,2,2,3,0.0,2,2,2,4,4,4,2,4,4,5,3,4,4,4,2,4,0.95
57,15,1,0,2,2,2,3,4,3,4,3,4,1,4,3,4,3,4,4,2,3,0.0,2,5,4,4,4,3,4,4,5,5,2,4,4,5,1,4,1.0
58,6,2,0,2,1,1,3,4,4,3,4,3,1,4,2,5,4,4,2,2,2,0.0,2,4,5,5,2,4,4,2,4,2,1,4,5,3,2,5,1.0
59,4,1,0,2,1,1,3,4,4,4,5,2,1,2,2,5,5,5,1,2,2,3.0,2,3,2,4,5,4,3,3,3,3,3,4,4,4,1,4,1.0
60,1,2,0,2,1,1,4,5,5,4,4,1,1,3,1,5,4,5,1,2,4,0.0,2,4,2,2,4,3,3,4,3,4,3,5,4,3,4,2,0.9
61,4,1,0,1,1,1,3,5,4,4,5,2,1,4,2,4,5,5,1,2,2,1.0,1,4,4,2,5,3,4,4,4,4,2,4,4,4,2,3,1.0
62,1,1,0,2,1,1,3,5,5,3,2,3,3,3,3,3,2,3,3,2,4,0.0,2,2,3,4,4,3,3,3,3,4,3,4,4,4,3,5,0.85
63,14,1,0,2,1,1,3,4,3,3,4,4,1,2,3,4,3,4,1,2,5,0.0,2,3,3,4,2,3,5,4,5,3,1,3,4,5,1,4,0.85
64,7,1,0,2,1,1,4,4,4,4,2,3,1,3,2,3,3,4,2,2,4,0.0,2,4,5,4,4,4,2,2,4,5,2,3,5,4,2,3,0.9
65,4,1,0,2,1,2,3,5,4,4,4,2,1,2,2,5,4,4,3,2,2,2.0,2,4,1,2,5,5,1,5,4,5,1,5,4,5,1,4,1.0
66,9,2,0,2,1,1,3,5,5,4,4,1,1,5,2,4,4,5,2,1,4,0.0,2,3,2,4,4,4,4,4,5,4,4,3,4,5,2,5,1.0
67,4,2,Maine coon ,2,1,1,3,4,4,5,5,1,1,3,1,5,5,5,1,2,4,2.0,2,1,1,5,5,5,1,5,5,5,3,3,5,5,1,5,1.0
68,1,1,0,1,1,1,3,5,4,3,4,2,1,4,2,4,4,4,1,2,2,1.0,1,5,5,4,5,4,2,5,5,5,1,3,5,4,2,4,1.0
69,4,1,0,2,1,1,4,5,4,3,3,2,1,2,3,5,4,4,2,2,6,0.0,2,4,3,3,4,4,3,4,5,5,3,4,3,5,3,3,1.0
70,18,2,0,1,1,1,2,3,3,3,3,3,1,3,4,4,3,4,3,2,3,1.0,1,3,3,4,2,2,4,4,2,4,3,4,2,4,2,4,1.0
71,2,1,0,2,1,1,3,5,4,1,2,1,1,3,2,4,4,4,1,2,3,7.0,2,2,3,4,3,4,2,3,2,2,1,3,5,5,3,5,0.95
72,9,2,0,2,1,1,4,5,5,5,4,3,1,4,3,4,3,4,3,2,3,3.0,2,4,4,3,4,4,3,4,5,4,3,4,4,4,3,3,1.0
73,13,1,0,2,1,1,4,3,5,5,3,1,1,5,1,5,5,5,1,2,5,1.0,2,3,3,4,5,4,4,3,3,5,2,4,5,5,1,5,1.0
75,12,2,0,2,1,1,5,5,4,5,1,2,2,4,1,5,3,5,1,1,3,0.0,2,3,3,4,4,3,3,4,3,5,3,2,4,4,4,2,1.0
76,2,2,0,2,1,1,3,4,5,3,1,2,1,4,2,5,5,5,2,2,2,2.0,2,1,4,5,4,5,2,3,4,4,1,5,4,5,1,4,1.0
77,7,2,0,1,2,2,4,4,4,4,2,1,1,5,1,4,5,5,2,2,2,1.0,1,5,4,2,5,2,2,2,4,4,3,1,2,4,4,4,0.95
78,7,1,0,2,1,2,4,4,4,4,2,2,3,2,3,3,2,3,2,2,4,0.0,2,4,5,3,3,2,4,2,5,4,1,4,5,5,1,4,0.85
79,4,1,0,2,1,1,3,4,4,4,5,4,1,2,1,5,5,5,4,2,3,1.0,2,2,5,4,4,4,4,5,5,5,2,5,5,4,1,4,1.0
80,13,1,Bengal,2,2,2,3,5,3,5,2,4,1,1,4,3,3,2,2,1,3,1.0,2,4,4,1,2,1,4,4,3,2,4,1,3,3,4,3,0.6
81,13,1,0,2,2,1,2,5,3,5,3,1,1,2,3,3,3,4,2,2,4,1.0,2,5,3,2,5,5,1,3,5,3,1,4,5,4,1,5,0.85
82,2,1,0,2,1,2,3,4,3,3,2,4,3,2,2,2,2,2,4,2,4,1.0,2,5,4,2,5,2,4,2,4,5,4,5,5,5,4,5,0.85
83,3,1,0,2,1,1,3,5,4,5,2,1,3,4,2,4,3,4,2,2,3,0.0,2,4,4,4,5,5,1,5,5,5,4,5,5,5,4,5,0.95
84,3,2,0,2,1,1,3,5,5,4,5,1,1,5,2,5,5,5,1,2,4,1.0,2,3,3,3,3,4,3,5,5,5,3,5,5,5,1,5,1.0
85,3,1,0,2,1,1,3,5,5,5,3,4,1,5,1,5,5,5,1,1,3,0.0,2,5,3,3,5,4,3,5,5,5,4,5,2,4,2,4,1.0
86,10,1,0,2,1,1,3,2,3,4,3,3,1,1,2,5,4,4,3,2,1,0.0,2,4,4,4,5,5,1,5,5,5,3,5,5,5,3,4,1.0
87,6,2,Sphynx,2,1,2,3,5,3,1,5,1,1,4,1,4,4,5,1,2,3,1.0,2,5,4,4,4,4,5,4,5,5,2,5,4,4,2,4,1.0
88,5,1,0,2,1,1,3,5,5,5,4,3,1,3,1,3,3,5,1,2,4,1.0,2,2,4,4,5,3,1,3,3,2,3,5,4,5,1,5,1.0
89,13,2,0,2,1,2,2,3,3,4,3,4,1,2,3,4,3,4,4,2,3,3.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
90,3,1,0,1,2,2,3,5,5,3,2,2,1,4,1,5,4,5,1,2,3,0.0,1,2,1,4,4,4,1,4,2,2,1,4,5,5,2,4,1.0
91,5,2,0,2,1,1,3,4,4,3,3,4,3,3,3,4,3,4,2,2,3,0.0,2,4,3,2,4,3,3,4,3,4,1,2,4,4,1,5,1.0
92,4,1,0,2,1,1,3,4,4,5,5,2,3,4,2,5,5,5,1,2,4,4.0,2,5,4,2,4,4,2,3,4,5,4,4,4,5,4,3,1.0
93,4,1,0,1,1,1,3,5,4,2,5,3,1,4,2,5,5,5,2,2,3,3.0,1,4,4,2,3,1,2,2,4,3,3,4,5,5,2,4,0.9
94,10,1,0,2,1,2,3,4,3,2,4,4,1,3,3,4,4,4,4,2,6,1.0,2,4,4,3,1,1,5,2,3,1,3,2,3,5,1,5,1.0
95,18,1,0,2,2,1,3,3,3,5,5,1,1,4,2,5,5,5,1,2,3,5.0,2,4,4,3,4,3,3,2,3,3,2,4,4,4,2,3,1.0
96,7,1,Siamese,2,1,2,3,5,3,5,3,2,1,2,2,4,4,4,2,2,5,3.0,2,5,1,4,5,4,2,4,5,4,1,2,5,5,4,5,1.0
97,7,2,0,1,1,1,3,4,3,4,4,2,1,3,1,4,4,4,1,2,2,1.0,1,4,3,2,4,3,4,3,4,2,2,2,5,3,4,3,1.0
99,14,1,Persian ,2,2,1,2,4,3,5,2,4,1,3,3,4,5,4,3,2,4,1.0,2,5,3,4,2,2,5,4,5,5,2,5,5,5,1,5,0.95
100,14,1,0,2,1,1,4,5,4,3,2,1,1,4,3,4,2,4,1,2,5,0.0,2,1,1,4,4,5,2,5,5,5,1,5,4,5,1,5,1.0
101,11,2,0,2,1,1,4,4,3,4,4,2,1,2,2,4,4,4,2,2,5,4.0,2,2,1,4,2,2,4,4,4,4,3,4,2,4,4,4,0.9
102,5,2,0,2,1,1,3,5,4,3,1,3,1,1,2,3,1,4,4,2,2,0.0,2,4,4,4,5,4,4,2,3,3,4,3,4,4,3,4,0.95
103,3,1,0,2,1,1,3,4,4,4,2,1,3,3,3,2,2,4,1,2,5,1.0,2,2,2,3,5,5,1,4,4,4,2,4,3,5,1,5,0.85
104,7,2,0,2,2,1,2,3,3,4,3,3,2,3,2,5,3,4,3,2,4,4.0,2,4,3,4,5,3,3,4,5,5,3,5,4,4,1,4,0.85
105,11,2,0,2,1,1,4,5,3,3,5,1,1,3,1,5,5,5,1,2,5,1.0,2,4,4,4,3,4,4,4,5,4,1,4,5,5,1,4,1.0
106,4,1,0,2,1,1,3,5,4,1,2,4,1,4,2,5,4,4,2,2,2,1.0,2,5,2,2,4,4,2,3,4,5,2,4,4,5,2,4,1.0
107,4,2,0,2,1,1,3,5,4,3,2,2,2,3,2,4,3,5,2,2,3,0.0,2,5,4,4,3,3,4,5,4,2,1,3,4,5,1,5,1.0
108,5,1,0,2,1,1,3,5,4,4,4,2,1,4,2,4,4,4,1,2,2,1.0,2,2,4,3,2,2,4,2,3,2,1,4,4,4,4,3,1.0
109,1,2,0,1,1,1,3,5,5,3,4,2,1,4,2,4,4,4,2,2,2,0.0,1,4,4,2,5,4,4,4,4,2,1,4,4,5,2,4,0.85
110,5,1,0,2,1,1,3,4,4,4,3,1,1,4,1,5,3,5,2,2,3,3.0,2,5,4,4,4,3,3,3,4,5,3,4,4,4,3,4,1.0
111,6,1,0,2,2,2,3,5,5,3,3,2,1,1,2,4,3,4,3,2,5,1.0,2,4,3,4,4,3,3,3,4,5,1,5,5,5,1,5,0.65
112,6,1,0,2,2,1,3,4,4,4,2,1,1,5,2,5,4,4,1,1,2,0.0,2,4,4,5,4,4,2,4,5,5,5,5,5,2,2,1,1.0
113,1,2,0,2,1,1,2,4,3,5,4,4,1,2,4,5,5,4,3,2,1,4.0,2,1,5,1,5,1,5,3,1,4,4,1,3,3,4,4,0.95
114,7,1,0,2,1,1,3,5,5,5,5,1,1,5,1,5,5,5,1,2,2,0.0,2,2,1,5,5,5,1,4,5,5,4,5,4,4,3,5,1.0
115,1,2,0,2,1,1,3,5,5,3,5,1,2,5,2,4,4,5,1,2,1,0.0,2,3,4,5,4,3,3,5,5,5,3,2,4,5,4,4,1.0
116,2,2,0,2,1,1,3,4,5,5,4,2,1,3,2,5,4,4,4,2,2,1.0,2,4,2,3,4,4,1,4,4,4,4,4,4,5,1,4,0.95
117,11,1,0,1,1,1,3,4,4,1,4,3,1,2,3,4,4,4,2,2,5,3.0,1,3,2,4,5,3,3,4,5,5,2,4,4,4,2,4,1.0
118,18,2,0,2,1,2,3,3,1,4,2,4,1,2,4,4,1,4,3,2,2,2.0,2,2,3,4,4,4,1,3,4,5,2,3,4,3,4,5,1.0
119,12,1,0,2,2,1,4,3,3,4,4,2,1,4,1,5,5,5,3,2,4,2.0,2,4,2,4,4,5,1,4,4,4,4,4,5,5,3,5,1.0
120,6,1,0,2,1,1,3,5,4,3,5,3,1,2,2,5,3,5,2,2,3,1.0,2,5,3,3,3,3,4,3,4,3,1,5,5,5,1,5,1.0
121,5,2,Canadian Sphynx,1,1,2,3,5,5,5,3,1,1,5,1,4,4,5,1,1,2,1.0,1,3,1,4,5,5,1,5,5,5,1,5,5,5,4,4,1.0
122,18,2,0,2,2,2,1,4,3,4,5,1,1,5,2,4,4,5,1,2,5,7.0,2,4,1,5,4,5,4,5,5,5,1,5,5,5,1,5,1.0
124,14,2,0,2,1,1,3,4,3,3,3,4,1,3,3,4,4,5,4,2,1,3.0,2,4,3,4,4,4,4,3,3,2,3,4,5,5,1,4,1.0
125,4,1,0,2,1,1,3,3,4,3,5,4,1,4,3,5,5,5,1,2,1,2.0,2,3,2,5,5,5,4,5,5,5,1,5,5,5,4,5,1.0
126,1,1,0,2,1,1,3,4,4,4,3,2,3,3,4,2,1,4,2,2,3,0.0,2,1,3,4,5,4,3,4,4,5,1,5,5,5,1,5,0.95
127,4,2,0,2,1,1,3,5,5,1,5,4,1,3,4,5,5,3,3,2,3,1.0,2,5,3,3,3,4,3,3,3,3,1,5,5,5,2,5,0.95
128,6,1,0,1,1,1,3,4,3,4,4,3,1,4,3,3,4,4,4,2,2,1.0,1,3,4,4,2,3,4,3,2,3,4,2,2,5,1,5,0.8
129,2,1,0,2,1,1,3,4,4,1,4,3,1,2,2,4,4,4,2,2,4,0.0,2,4,4,5,4,2,4,4,4,4,1,5,5,5,1,5,0.85
130,8,1,0,2,1,1,4,5,4,3,2,2,1,2,4,4,2,4,3,2,4,1.0,2,4,4,5,5,5,4,4,4,2,1,4,4,4,4,4,0.85
131,5,1,0,2,1,1,3,4,4,4,4,3,1,2,2,4,2,4,2,2,2,1.0,2,4,4,2,5,5,2,4,5,5,2,3,5,4,4,5,1.0
132,2,1,0,2,1,2,3,3,4,4,4,5,1,3,1,4,4,5,4,1,4,0.0,2,1,1,4,4,4,4,4,4,4,2,4,5,4,1,4,0.95
133,2,1,0,2,1,2,3,3,4,5,3,5,1,2,1,3,2,4,2,2,1,0.0,2,4,4,2,2,1,4,4,5,5,2,3,5,3,2,4,0.95
134,1,2,0,2,1,1,3,5,4,4,4,3,1,3,3,5,4,4,3,2,3,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
135,2,1,0,2,1,1,3,5,5,3,5,4,1,2,3,5,3,4,3,2,2,0.0,2,5,2,5,5,4,3,5,5,5,1,5,5,5,1,5,1.0
136,4,1,0,1,1,2,3,4,5,5,4,2,2,3,2,4,5,5,2,2,2,0.0,1,5,4,1,5,3,5,5,5,5,4,5,5,2,5,2,1.0
137,14,1,Ragdoll,1,1,1,3,4,4,4,5,3,1,2,2,5,5,4,3,2,4,0.0,1,4,3,4,1,1,5,4,5,4,2,4,5,5,1,5,1.0
138,5,1,Burmese,1,1,1,3,5,5,5,5,3,1,4,1,5,5,5,2,2,4,1.0,1,4,2,4,5,4,4,3,5,5,4,5,4,5,1,5,1.0
139,5,2,0,2,1,1,3,5,5,3,5,1,1,5,1,5,5,5,1,2,2,0.0,2,3,4,4,3,3,3,4,5,5,1,4,4,5,2,4,1.0
140,8,1,0,2,1,1,3,4,4,1,4,3,1,3,3,3,4,4,3,1,5,1.0,2,2,3,4,4,4,4,5,4,4,4,4,4,4,1,4,0.95
141,4,2,0,2,1,1,3,4,4,5,4,3,1,2,3,5,4,4,3,2,1,0.0,2,3,4,4,4,3,4,3,2,3,2,4,4,5,3,4,1.0
142,7,1,0,2,1,1,4,2,3,3,5,4,2,2,2,4,2,4,3,2,2,0.0,2,5,3,5,1,2,5,3,5,3,1,1,5,4,1,5,1.0
143,6,2,0,1,1,2,3,4,3,3,1,5,3,2,3,4,1,4,5,2,3,0.0,1,4,3,2,5,5,1,5,4,5,4,5,5,5,1,5,0.9
144,9,1,Birmin,2,1,1,4,4,4,4,2,3,1,3,4,4,3,4,3,2,2,0.0,2,4,4,4,4,4,4,4,2,5,1,4,5,5,2,4,1.0
146,1,1,0,2,1,1,3,3,5,5,5,4,1,2,3,5,5,5,3,2,2,0.0,2,5,2,2,4,4,4,4,4,4,4,2,5,5,4,5,0.9
147,7,1,0,2,1,2,3,5,4,1,3,2,3,4,3,3,1,2,2,2,3,0.0,2,4,2,2,2,2,3,2,4,2,4,2,3,4,2,5,0.75
148,6,1,0,2,2,2,4,5,4,3,4,1,1,3,2,4,3,5,3,2,4,3.0,2,2,5,4,4,3,4,4,3,2,2,4,4,4,2,3,1.0
149,8,2,0,1,1,1,4,3,3,4,5,2,1,4,1,4,4,4,2,2,2,0.0,1,4,4,4,1,2,5,2,3,4,2,4,4,4,2,4,1.0
150,7,2,0,1,1,2,3,3,4,5,3,3,1,2,3,4,3,5,2,2,3,1.0,1,2,2,4,4,5,2,3,3,3,1,5,4,5,1,4,1.0
151,7,1,0,2,2,2,4,3,3,1,5,5,1,3,3,5,5,5,5,2,3,0.0,2,2,3,5,4,4,4,3,5,5,2,5,5,4,2,4,0.95
152,10,2,0,2,1,1,3,4,3,1,3,4,2,2,4,4,2,4,2,2,4,1.0,2,4,2,2,3,2,5,5,5,4,4,5,5,4,1,5,1.0
153,1,1,0,2,1,1,3,5,5,4,4,2,1,4,1,4,3,5,1,2,2,1.0,2,5,4,2,4,4,4,5,5,5,4,4,4,4,4,5,1.0
154,8,2,0,2,1,2,3,1,3,4,4,5,1,2,4,5,5,3,4,2,2,1.0,2,4,4,5,3,1,5,5,5,4,4,2,4,5,1,5,1.0
155,17,2,0,2,2,1,3,3,3,4,5,2,1,3,2,5,5,4,2,2,4,15.0,2,3,2,4,5,4,2,4,4,4,1,4,4,4,2,4,1.0
156,14,1,0,2,2,1,3,3,3,5,5,2,1,4,3,5,5,5,3,2,3,5.0,2,3,4,4,4,2,4,4,3,3,4,2,3,4,1,5,1.0
157,5,2,0,2,2,2,3,4,4,3,5,4,1,4,2,5,4,4,4,2,3,0.0,2,5,5,4,2,4,5,2,5,2,2,4,5,4,5,5,0.95
158,11,1,0,2,1,1,3,4,3,4,2,4,1,2,2,5,5,5,2,2,3,1.0,2,4,4,2,4,4,4,3,4,3,5,3,2,5,4,5,1.0
159,5,2,British shorthair ,1,1,1,3,5,4,3,3,2,1,2,2,4,4,4,2,2,4,6.0,1,4,4,2,4,2,4,4,2,2,2,2,2,5,1,2,0.85
160,8,2,Russian blue,2,1,1,4,3,3,3,2,3,1,3,4,5,3,4,4,2,3,0.0,2,4,4,4,5,3,4,3,3,4,4,5,5,3,4,4,0.95
161,8,1,0,2,1,1,3,4,4,1,3,2,1,3,3,4,3,3,1,2,5,2.0,2,3,4,3,4,4,1,4,4,4,3,4,4,3,3,3,0.85
162,13,1,Stray tabby,1,1,1,2,5,4,5,3,3,1,5,1,5,5,5,1,2,4,1.0,1,3,3,5,2,3,4,5,5,5,1,4,4,4,3,4,1.0
163,9,2,0,2,1,2,4,3,4,3,1,3,2,3,2,4,3,4,4,0,3,0.0,2,5,4,2,5,4,2,5,5,4,2,4,4,4,3,3,0.85
164,3,2,0,2,1,1,3,5,5,3,5,2,1,4,2,5,5,5,2,2,5,1.0,2,1,2,4,5,5,4,5,5,5,2,5,4,4,1,4,1.0
165,11,1,Burmese,2,2,1,3,5,3,4,5,1,1,3,1,5,5,5,1,2,2,1.0,2,4,3,4,4,2,4,4,4,4,3,2,4,5,5,5,1.0
